title,address,city,state,zip,url,featured_image,care_types,care_types_raw
113 North Senior Care Center,"113 NORTH AVENIDA DE SAN RAMON, Tucson, AZ 85710",Tucson,AZ,85710,https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e,,,
15298 W Ventura St,"15298 West Ventura Street, Surprise, AZ 85379",Surprise,AZ,85379,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b36dddcafed54b54b45057868103c255.jpg,Assisted Living Home,Assisted Living Home
15Th Way Home Assisted Care,"15816 North 15th Way, Phoenix, AZ 85022",Phoenix,AZ,85022,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5137bf5e4152350b9ee392a3facb228e.jpg,Assisted Living Home,Assisted Living Home
29192 Assisted Living,"29192 North 76th Street, Scottsdale, AZ 85266",Scottsdale,AZ,85266,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,,Assisted Living Home,Assisted Living Home
55 Resort Apartments Scottsdale,"9449 N. 90th St, Scottsdale, AZ 85258",Scottsdale,AZ,85258,https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613,,,
55 Resorts Scottsdale at Mccormick Ranch,"9449 N 90th ST, Scottsdal, AZ 85258",Scottsdal,AZ,85258,https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184,https://app.seniorplace.com/api/files/public/db13b7cb-e94a-42c0-bf1a-db3ad7e814e4,,
8434 Assisted Living,"8434 East La Junta Road, Scottsdale, AZ 85255",Scottsdale,AZ,85255,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/259e073d8df7e669192fd92ca325cc5d.jpg,Assisted Living Home,Assisted Living Home
A & I Adult Care Home,"5327 East Anderson Drive, Scottsdale, AZ 85254",Scottsdale,AZ,85254,https://app.seniorplace.com/communities/show/6b552075-435a-45f2-8017-9d1508054958,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4616fd592f0cf53bf9dcb7d46b24b1a3.jpg,Assisted Living Home,Assisted Living Home
A & M Assisted Living of Scottsdale,"7512 East Larkspur Drive, Scottsdale, AZ 85260",Scottsdale,AZ,85260,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/909594c0966e36d8d19128705ee69d09.jpg,Assisted Living Home,Assisted Living Home
A A A Adult Care Home,"5720 East 26th Street, Tucson, AZ 85711",Tucson,AZ,85711,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/90f6d1eed8ded5d33ae9355960d896fc.jpg,Assisted Living Home,Assisted Living Home
