title,address,city,state,zip,url,featured_image,care_types,care_types_raw
A Bridge Home,"1201 Falls Avenue East, Twin Falls, ID 83301",Twin Falls,ID,83301,https://app.seniorplace.com/communities/show/b96d0a5e-e0dc-4d53-82ee-dea185fc923d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/8c9fb99fee4c08ddb5f3a9a94ee7c818.jpg,Home Care,"Home Health, Hospice"
Ability Home Health,"250 Northwest Boulevard, Coeur d'Alene, ID 83814",Coeur d'Alene,ID,83814,https://app.seniorplace.com/communities/show/2b69de32-4385-4b4e-9859-27771f831c95,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/54151cd0ba6cb687b0cdfd40eae80f77.jpg,Home Care,Home Health
Achs Hospice & Palliative Care,"815 South Bridgeway Place, Eagle, ID 83616",Eagle,ID,83616,https://app.seniorplace.com/communities/show/07fb89b9-b9b1-40fd-aafe-a4cd5524aa97,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3d7db7c9d317a4b783868182ca978d2b.jpg,Home Care,"Home Health, Hospice"
Advanced Home Care and Hospice of Coeur D'Alene,"1578 West Riverstone Drive, Coeur d'Alene, ID 83814",Coeur d'Alene,ID,83814,https://app.seniorplace.com/communities/show/9f275fd8-1cd4-4970-884c-9932cced10e0,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f23d43d2bf7804fd7655d63a24a7a1ee.jpg,"Home Care, Nursing Home","Skilled Nursing, Home Health, Hospice"
Alliance Hospice of Idaho,"1655 1st Street, Idaho Falls, ID 83401",Idaho Falls,ID,83401,https://app.seniorplace.com/communities/show/87fe23f9-5097-4972-beba-1ab5832deac1,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1b20e871025f0356844ffef8673f4ac7.jpg,Home Care,"Home Health, Hospice"
Alpine Acres Assisted Living,"183 East Oak Street, Shelley, ID 83274",Shelley,ID,83274,https://app.seniorplace.com/communities/show/be2976a3-d59d-45f4-8b50-33b25ebf484c,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3288905e2682bbc6f5fab6ab72dae501.jpg,"Assisted Living Community, Memory Care","Assisted Living Facility, Memory Care"
Alpine Manor Ii,"100 Polk Street East, Kimberly, ID 83341",Kimberly,ID,83341,https://app.seniorplace.com/communities/show/44443b17-b0cf-4723-a284-53196ed7672b,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/02db6712ec53598f029676295a8db8ba.jpg,"Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Facility, Assisted Living Home, Memory Care"
Alpine Meadows Assisted Living,"1695 South Locust Grove Road, Meridian, ID 83642",Meridian,ID,83642,https://app.seniorplace.com/communities/show/1bfb2f6c-e2cf-486b-b9f9-93fcc51c428c,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/00a047c608a7e30bf6d87487a1e89ec3.jpg,"Assisted Living Community, Memory Care","Assisted Living Facility, Memory Care"
Applegate Assisted Living,"1541 East 4250 North, Buhl, ID 83316",Buhl,ID,83316,https://app.seniorplace.com/communities/show/21b9e38f-4e7d-4b5b-9754-795a08290c93,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/807d77509a46e518214ae5ec37e8c172.jpg,"Assisted Living Community, Memory Care","Assisted Living Facility, Memory Care"
Arbor Village at Hillcrest,"1093 South Hilton Street, Boise, ID 83705",Boise,ID,83705,https://app.seniorplace.com/communities/show/3d0e280d-cbb3-4794-8d90-f7f31e469f98,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/409a757c710b3d8ba7aa50363aab37ae.jpg,"Assisted Living Community, Independent Living","Independent Living, Assisted Living Facility"
