title,address,city,state,zip,url,featured_image,care_types,care_types_raw
A Love for Life,"7534 Bear Canyon Road Northeast, Bear Canyon, NM 87109",Bear Canyon,NM,87109,https://app.seniorplace.com/communities/show/b31963b7-62f0-40b1-b3b9-4575ca65a7ca,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6c1e6e43112174fa6d937061e36b38d5.jpg,Assisted Living Community,Assisted Living Facility
A Love for Life,"4108 Alcazar Street Northeast, Albuquerque, NM 87109",Albuquerque,NM,87109,https://app.seniorplace.com/communities/show/c725d27a-f6ee-43ee-8c4c-48ec2263b25a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3fd32982aa33569f13f9998a6590625f.jpg,Assisted Living Community,Assisted Living Facility
A New Day,"11212 Miravista Place Southeast, Miravista, NM 87123",Miravista,NM,87123,https://app.seniorplace.com/communities/show/bf70f13e-af77-41b1-b15a-c0d2ae5e86f2,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/9194eef43dff4a9338136880a2118c60.jpg,Assisted Living Home,Assisted Living Home
Access Md,"4501 Osuna Road Northeast, Albuquerque, NM 87109",Albuquerque,NM,87109,https://app.seniorplace.com/communities/show/8228d7a9-7284-4ec6-8e28-fd9225d5362d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d53766ec4b40dcd34ca01a0e691d7fed.jpg,Assisted Living Home,Assisted Living Home
Adelante Ventana,"3609 Lafayette Drive Northeast, Albuquerque, NM 87107",Albuquerque,NM,87107,https://app.seniorplace.com/communities/show/8472a1ae-ab15-4ddb-96c0-c1b22a30a2b1,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/582d940b219dabe6a1af2e2865b8f1b6.jpg,Assisted Living Home,Assisted Living Home
Adobe Assisted Living #1 (The),"1111 East Mountain Avenue, Las Cruces, NM 88001",Las Cruces,NM,88001,https://app.seniorplace.com/communities/show/cbb0205b-1eb5-4638-8f9e-0acd357fac5e,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f6b1b8269391e93801f9ad5f6c1472a1.jpg,Assisted Living Community,Assisted Living Facility
Advanced Ambulatory Surgery Center of Carlsbad Nm,"Skyline Circle, Carlsbad, NM 88220",Carlsbad,NM,88220,https://app.seniorplace.com/communities/show/f6f6e6b5-6c83-41d3-a5a7-34ff2416ee81,,Assisted Living Home,Assisted Living Home
Advantage Assisted Living,"1729 Wellspring Avenue Southeast, Rio Rancho, NM 87124",Rio Rancho,NM,87124,https://app.seniorplace.com/communities/show/82020c19-819a-419b-ab4a-9569e6e87558,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/696d724a6966e05378724adf1c584af4.jpg,Assisted Living Community,Assisted Living Facility
Advantage Assisted Living,"1760 Rincon Road Southeast, Rio Rancho, NM 87124",Rio Rancho,NM,87124,https://app.seniorplace.com/communities/show/bec08a19-13aa-433e-923d-1d5b282b29ac,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/8291b16822bd9d09ead7be23110197a4.jpg,Assisted Living Community,Assisted Living Facility
Albuquerque Surgical Partners Llc Dba Centennial Surgery Center,"7800 Constitution Avenue Northeast, Albuquerque, NM 87110",Albuquerque,NM,87110,https://app.seniorplace.com/communities/show/3ce34524-3fca-4c18-aec9-220adda1ef04,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/fdd225f9aeab34a80ed2930f20c87bb8.jpg,Assisted Living Community,Assisted Living Facility
Albuquerque Uptown Assisted Living,"7611 Indian School Road Northeast, Albuquerque, NM 87110",Albuquerque,NM,87110,https://app.seniorplace.com/communities/show/6aa4a4b8-6f70-42fd-a787-8f54b8bfc684,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/58ed0ce733e57ad781b82f4452b21061.jpg,Assisted Living Community,Assisted Living Facility
All-Care Assisted Living,"1001 York Drive, Clovis, NM 88101",Clovis,NM,88101,https://app.seniorplace.com/communities/show/60b97301-8553-42fa-9326-d8d8adc82d98,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/188dc9ce0c0b615950727ec3d0a2b9b9.jpg,Assisted Living Home,Assisted Living Home
Amaran Senior Living,"9100 Holly Avenue Northeast, Albuquerque, NM 87122",Albuquerque,NM,87122,https://app.seniorplace.com/communities/show/28b3f96b-b395-446b-8e46-b87f736def43,https://app.seniorplace.com/api/files/public/a9c246d2-ba2c-4a12-9001-1361385101c1,"Assisted Living Community, Memory Care","Assisted Living Facility, Memory Care"
American San Pablo Assisted Living,"1509 San Pablo Street Northeast, Albuquerque, NM 87110",Albuquerque,NM,87110,https://app.seniorplace.com/communities/show/6b8bfa74-199a-46a2-956c-f849bd396226,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/304bce0d5719750c13c0c86a5cd60bb6.jpg,Assisted Living Home,Assisted Living Home
American Winds of Grace,"7917 San Francisco Road Northeast, Albuquerque, NM 87109",Albuquerque,NM,87109,https://app.seniorplace.com/communities/show/3399a90a-7fa5-485e-b982-3e714532b639,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a70f65be2a81ff852d27a9d99d52dbfd.jpg,Assisted Living Home,Assisted Living Home
