title,address,city,state,zip,url,featured_image,care_types,care_types_raw
A-Plus Healthcare at Home - Home Health,"1443 North 1200 West, Orem, UT 84057",Orem,UT,84057,https://app.seniorplace.com/communities/show/0ce44f1f-5f60-4f95-b501-f22e1fe7de8b,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/92217045bfcd4f0a7338cd3838958720.jpg,Home Care,"Home Health, Hospice"
Abbington Manor Al I,"215 North Center Street, Lehi, UT 84043",Lehi,UT,84043,https://app.seniorplace.com/communities/show/658dad7d-865e-41de-8960-9abea14ca467,https://app.seniorplace.com/api/files/public/bfcd9e8c-d089-4f14-b981-a26c989fffa2,"Assisted Living Community, Independent Living, Memory Care","Independent Living, Assisted Living Facility, Memory Care"
Abbington Manor Memory Care,"855 West 1500 North, Lehi, UT 84043",Lehi,UT,84043,https://app.seniorplace.com/communities/show/7f28c3fe-7e20-4f3c-a87c-e3a979911651,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b88294025fe6ed951178f6a5d2fa5bec.jpg,Assisted Living Community,Assisted Living Facility
Abbington Senior Living of St George Does Not Work With Referral Agents,"782 S 1450 E, St. George, UT 84790",St. George,UT,84790,https://app.seniorplace.com/communities/show/09f1ffdb-8c40-44da-a6ee-cd6be7356d66,https://app.seniorplace.com/api/files/public/0222fbb4-1db0-40e7-90c7-d4e6ba0f06df,Assisted Living Community,Assisted Living Facility
Ability Hospice,"406 West South Jordan Parkway, South Jordan, UT 84095",South Jordan,UT,84095,https://app.seniorplace.com/communities/show/0208c275-e1be-4a5b-aa23-cb51890e243a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/85051756f31db947300544d3eaa2cce9.jpg,Home Care,Hospice
Active Hospice,"8180 South 700 East, Sandy, UT 84070",Sandy,UT,84070,https://app.seniorplace.com/communities/show/f5b77519-9659-4710-b407-1c4f29a13b24,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6d0544be3e0bcf4d6a03dcdfea6e52dd.jpg,Home Care,"Home Health, Hospice"
Aegis Hospice,"258 South Main Street, Logan, UT 84321",Logan,UT,84321,https://app.seniorplace.com/communities/show/81c8f036-2617-4508-9d61-792554058957,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/25a513e9e3bdba5381e0ebece59f6647.jpg,Home Care,Hospice
Afi Hospice,"1133 North Main Street, Layton, UT 84041",Layton,UT,84041,https://app.seniorplace.com/communities/show/bfc1aaab-5c32-4c6f-9fa2-73b656f0a3da,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b49ef836a5f62146c8e008df4eed05b4.jpg,Home Care,"Home Health, Hospice"
All Seasons of Cedar City,"432 West 1325 North, Cedar City, UT 84721",Cedar City,UT,84721,https://app.seniorplace.com/communities/show/42bd028e-0429-4df8-a19b-b3282117abc6,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/93c08339eafbcc3cf2a770ddb107aa64.jpg,Assisted Living Community,Assisted Living Facility
All Seasons of West Jordan #2,"8912 South 2700 West, West Jordan, UT 84088",West Jordan,UT,84088,https://app.seniorplace.com/communities/show/5dce357b-b657-4a2b-a9d7-1ed25fb082c2,,Assisted Living Community,Assisted Living Facility
