ID,Title,RawType,Normalized,Unknown,Status,SeniorPlaceURL,SeniorlyURL
,113 North Senior Care Center,a:1:{i:0;i:1;}; field_682fc481aaf60,Uncategorized,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e,
,15298 W Ventura St,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,
,15Th Way Home Assisted Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,
,29192 Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,
,55 Resort Apartments Scottsdale,a:1:{i:0;i:1;}; field_682fc481aaf60,Uncategorized,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613,
,55 Resorts Scottsdale At Mccormick Ranch,a:1:{i:0;i:1;}; field_682fc481aaf60,Uncategorized,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184,
,8434 Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,
,A I Adult Care Home,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home
,A M Assisted Living Of Scottsdale,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,
,A A A Adult Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,
,A Better Choice Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,
,A Breath Of Life Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,
,A Caring Manor I,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,
,A Caring Manor Ii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/4e2dcc51-4ac7-40f1-b3a6-5a20f3759b99,
,A Cottage At Pampa Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/bc66eb9a-8a42-49c5-9e76-f8921887366d,
,A Country Retreat,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat
,A D Assisted Living Carehome,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/cde90335-8ce2-4eba-8c68-b29c407a3b1b,
,A Dignified Adult Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/eda3e743-5df0-4bcb-b4e4-ee19df5f6412,
