title,description,address,location-name,price,type,featured_image,photos,amenities,url
Merrill Gardens At Anthem,"Merrill Gardens At Anthem creates a space where seniors can feel secure and cared for. Amenities include activity room, air conditioning, all day dining, offering convenience and ease. From daily routines to special moments, residents are supported every step of the way.","2800 West Rose Canyon Circle, Anthem, AZ 85086",Anthem,3500.0,"Assisted Living, Memory Care, Independent Living",https://d354o3y6yz93dt.cloudfront.net/images/1200x/7d057ca6e3c4fde7560f05cd846d4446459da8e9/IMG_4404.JPG,"https://d354o3y6yz93dt.cloudfront.net/images/1200x/7d057ca6e3c4fde7560f05cd846d4446459da8e9/IMG_4406.JPG, https://d354o3y6yz93dt.cloudfront.net/images/1200x/6f543b5cad62d788788e60ecb01472e8a7de365f/IMG_4405.jpeg, https://d354o3y6yz93dt.cloudfront.net/images/1200x/7d057ca6e3c4fde7560f05cd846d4446459da8e9/IMG_4407.JPG","activity room, air conditioning, all day dining, allergy-sensitive, arts room, barber / salon, bistro, business room, cable tv, cafe, community-sponsored activities, concierge, continuing learning experience, day trips, diabetes diet, dining room, emergency alert system, faith based, family support services, fireplace, fitness programs, fitness room, furnished, game room, garden, grill, grocery shopping / errands, housekeeping, international cuisine, kitchenette, laundry service / dry cleaning, library, meal preparation and service, move-in coordination, movie nights, movie theater, music programs, on-site market / store, outdoor common space, outdoor programs, patio, pet-friendly, piano, private bathroom, professional chef, resident-run activities, restaurant-style dining, scheduled daily activities, spa / sauna / wellness room, special dietary restrictions, sports / cocktail lounge, swimming pool / jacuzzi, telephone, transportation & parking, vegetarian, volunteer program, walking paths, wi-fi / high-speed internet",https://www.seniorly.com/assisted-living/arizona/anthem/merrill-gardens-at-anthem
The Enclave at Anthem Senior Living,"The Enclave at Anthem Senior Living creates a space where seniors can feel secure and cared for. Amenities include air conditioning, all day dining, allergy-sensitive, offering convenience and ease. From daily routines to special moments, residents are supported every step of the way.","42015 North Venture Drive, Phoenix, AZ 85086",Phoenix,3580.0,"Assisted Living, Memory Care, Independent Living",https://d354o3y6yz93dt.cloudfront.net/images/1200x/9cbe9ad27d35e2004effae91ad1f8c6dc0550003/Birdseye-View-2048x1150.jpg,"https://d354o3y6yz93dt.cloudfront.net/images/1200x/0898ba2b7d40bd53d763f68a58dde43ceb694cac/Bistro-5-2048x1365.jpg, https://d354o3y6yz93dt.cloudfront.net/images/1200x/609829fa7e7fc364438e04ee3b6fbc7c513a19fc/One-Bedroom-IL-2048x1365.jpg, https://d354o3y6yz93dt.cloudfront.net/images/1200x/d661bef26232c4835c0b3db626eff8f6bcf9d43d/DJI_0578-2048x1141.jpg","air conditioning, all day dining, allergy-sensitive, arts room, barber / salon, bistro, business room, cable tv, community-sponsored activities, continuing learning experience, day trips, diabetes diet, dining room, emergency alert system, faith based, fireplace, fitness programs, fitness room, furnished, game room, garden, grill, grocery shopping / errands, housekeeping, international cuisine, kitchenette, laundry service / dry cleaning, library, meal preparation and service, move-in coordination, movie nights, movie theater, music programs, outdoor common space, patio, pet-friendly, piano, professional chef, resident-run activities, restaurant-style dining, special dietary restrictions, swimming pool / jacuzzi, telephone, transportation & parking, vegetarian, volunteer program, walking paths, wi-fi / high-speed internet",https://www.seniorly.com/assisted-living/arizona/phoenix/the-enclave-at-anthem-senior-living
Senior Sanctuary Of Anthem,"Senior Sanctuary Of Anthem creates a space where seniors can feel secure and cared for. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. It's a place where thoughtful care meets everyday comfort.","2213 West Keller Court, Anthem, AZ 85086",Anthem,3690.0,Assisted Living,"""https://maps.googleapis.com/maps/api/streetview?size=1279x680&location=2213 West Keller Court,Anthem,AZ&fov=80&heading=70&pitch=0&key=AIzaSyBbN8J_ogumAythgDCzwXzbuIn6qP-w0fM&return_error_code=true""",,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/anthem/senior-sanctuary-of-anthem
Anthem Senior Living,"At Anthem Senior Living, residents find a supportive environment that puts well-being first. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. It's a place where thoughtful care meets everyday comfort.","40401 North Copper Basin Trail, Phoenix, AZ 85086",Phoenix,6000.0,"Assisted Living, Board and Care Home","""https://maps.googleapis.com/maps/api/streetview?size=1279x680&location=40401 North Copper Basin Trail,Phoenix,AZ&fov=80&heading=70&pitch=0&key=AIzaSyBbN8J_ogumAythgDCzwXzbuIn6qP-w0fM&return_error_code=true""",,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/phoenix/anthem-senior-living
Tramonto Desert Rose Assisted Living,"Tramonto Desert Rose Assisted Living creates a space where seniors can feel secure and cared for. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Everything is centered around comfort, dignity, and personalized support.","2405 West Florentine Road, Phoenix, AZ 85086",Phoenix,2750.0,Assisted Living,https://d354o3y6yz93dt.cloudfront.net/images/1200x/6f96614b7dda3ce66d61ffef891103663f4df53e/tramonto-desert-rose-assisted-living-front-1_sly_high_res_.jpg,,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/phoenix/tramonto-desert-rose-assisted-living
Desert Vista Assisted Living,"Desert Vista Assisted Living is a thoughtfully designed residence focused on quality living for seniors. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. It's a place where thoughtful care meets everyday comfort.","1809 West Bramble Berry Lane, Phoenix, AZ 85085",Phoenix,2750.0,"Assisted Living, Board and Care Home",https://d354o3y6yz93dt.cloudfront.net/images/1200x/97b4cd6f17533a509e24f03b0443aa31/1809_W_Bramble_Berry_Ln_04.jpg,"https://d354o3y6yz93dt.cloudfront.net/images/1200x/28973e232924d3b11983d8ab7f147be0/1809_W_Bramble_Berry_Ln_16.jpg, https://d354o3y6yz93dt.cloudfront.net/images/1200x/65d2ecbc5e6fc65aa8e8beb32352df45/1809_W_Bramble_Berry_Ln_01.jpg, https://d354o3y6yz93dt.cloudfront.net/images/1200x/1a7f32f928b00deea0b9709d9598be31/I0000tdQBNP4JAkI_sly_high_res_.jpg","all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, walking paths",https://www.seniorly.com/assisted-living/arizona/phoenix/desert-vista-assisted-living
Abellavida Memory Care,"Abellavida Memory Care is a thoughtfully designed residence focused on quality living for seniors. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Here, community and compassion go hand in hand.","35203 North Central Avenue, Phoenix, AZ 85086",Phoenix,2750.0,Assisted Living,,,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care
La Solana Assisted Living,"La Solana Assisted Living is a thoughtfully designed residence focused on quality living for seniors. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Here, community and compassion go hand in hand.","2551 West Rabjohn Road, Phoenix, AZ 85085",Phoenix,2750.0,Assisted Living,"""https://maps.googleapis.com/maps/api/streetview?size=1279x680&location=2551 West Rabjohn Road,Phoenix,AZ&fov=80&heading=70&pitch=0&key=AIzaSyBbN8J_ogumAythgDCzwXzbuIn6qP-w0fM&return_error_code=true""",,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/phoenix/la-solana-assisted-living
Desert Hills Adult Care Home,"At Desert Hills Adult Care Home, residents find a supportive environment that puts well-being first. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Designed to promote independence while providing just the right level of assistance.","38414 North 12Th Street, Phoenix, AZ 85086",Phoenix,2750.0,"Assisted Living, Board and Care Home",,,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/phoenix/desert-hills-adult-care-home
A Vip Assisted Living Home Care,"A Vip Assisted Living Home Care creates a space where seniors can feel secure and cared for. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. It's a place where thoughtful care meets everyday comfort.","41309 North Yorktown Trl, Phoenix, AZ 85086",Phoenix,2750.0,"Assisted Living, Board and Care Home","""https://maps.googleapis.com/maps/api/streetview?size=1279x680&location=41309 North Yorktown Trl,Phoenix,AZ&fov=80&heading=70&pitch=0&key=AIzaSyBbN8J_ogumAythgDCzwXzbuIn6qP-w0fM&return_error_code=true""",,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/phoenix/a-vip-assisted-living-home-care
Danina's Care Home,"Danina's Care Home offers a peaceful setting where residents can enjoy day-to-day life comfortably. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. It's a place where thoughtful care meets everyday comfort.","2406 West Sienna Bouquet Place, Phoenix, AZ 85085",Phoenix,2750.0,"Assisted Living, Board and Care Home",,,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/phoenix/danina-s-care-home-l-l-c
A Distinguished Touch Adult Care,"At A Distinguished Touch Adult Care, residents find a supportive environment that puts well-being first. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Designed to promote independence while providing just the right level of assistance.","6758 West Blackstone Lane, Peoria, AZ 85383",Peoria,2750.0,"Assisted Living, Board and Care Home","""https://maps.googleapis.com/maps/api/streetview?size=1279x680&location=6758 West Blackstone Lane,Peoria,AZ&fov=80&heading=70&pitch=0&key=AIzaSyBbN8J_ogumAythgDCzwXzbuIn6qP-w0fM&return_error_code=true""",,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/peoria/a-distinguished-touch-adult-care-llc
