title,description,address,location-name,state,price,type,featured_image,photos,amenities,url,website
1 Duarte Care,,"2436 El Toro Road, Duarte, Ca 91010",Duarte,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/14fd6aa5b78c2e7fecaeb78fb6796abe.jpg,,,https://app.seniorplace.com/communities/show/770acd23-7014-4a00-a801-5f9f88ed971a,https://app.seniorplace.com/communities/show/770acd23-7014-4a00-a801-5f9f88ed971a
11772 Justine Way,,"11772 Justine Way, Adelanto, Ca 92301",Adelanto,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5c2d5cae7534f16578ec4572eb644f7a.jpg,,,https://app.seniorplace.com/communities/show/9c5d0230-bf5e-4315-9883-37a2257b33c4,https://app.seniorplace.com/communities/show/9c5d0230-bf5e-4315-9883-37a2257b33c4
11848 Trailwood Street,,"11848 Trailwood Street, Victorville, Ca 92392",Victorville,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/8b5c3c1224ebdb78ac210f9717b272e5.jpg,,,https://app.seniorplace.com/communities/show/2212b5da-4572-476b-abfe-ccd14762abb9,https://app.seniorplace.com/communities/show/2212b5da-4572-476b-abfe-ccd14762abb9
143 West Sidlee,,"143 West Sidlee Street, Thousand Oaks, Ca 91360",Thousand Oaks,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/40b364e358775d00c49f7edb82655cc3.jpg,,,https://app.seniorplace.com/communities/show/2bff9b0e-12f3-487f-ba8a-ed642d988c30,https://app.seniorplace.com/communities/show/2bff9b0e-12f3-487f-ba8a-ed642d988c30
1440 By The Bay,,"1440 40Th Street, Emeryville, Ca 94608",Emeryville,CA,,Assisted Living Community,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/713756e240e281bcca1a385454a5726c.jpg,,,https://app.seniorplace.com/communities/show/fa3b3d05-ccab-4b40-a599-caea45d3c43c,https://app.seniorplace.com/communities/show/fa3b3d05-ccab-4b40-a599-caea45d3c43c
164Th Place,,"1249 West 164Th Street, Gardena, Ca 90247",Gardena,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/98b7952828731acc4ba69bab722550ec.jpg,,,https://app.seniorplace.com/communities/show/c690a1a7-2899-45fb-a715-cc96220b4032,https://app.seniorplace.com/communities/show/c690a1a7-2899-45fb-a715-cc96220b4032
16Th Street Home Care,,"44920 16Th Street West, Lancaster, Ca 93534",Lancaster,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/463841ccaddfbb200c785bcc726d0616.jpg,,,https://app.seniorplace.com/communities/show/11459fd9-e0c1-4964-8884-b6919efb054e,https://app.seniorplace.com/communities/show/11459fd9-e0c1-4964-8884-b6919efb054e
1St Caring Traditions,,"3234 Tournament Drive, Palmdale, Ca 93551",Palmdale,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6dd77023257980def527a871509ddecf.jpg,,,https://app.seniorplace.com/communities/show/4648c329-f11e-4063-8809-f6519bdbbeac,https://app.seniorplace.com/communities/show/4648c329-f11e-4063-8809-f6519bdbbeac
1St Choice,,"4639 Glasgow Court, Antioch, Ca 94531",Antioch,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f06f383dd167ab107ac6f06dd6aadb7a.jpg,,,https://app.seniorplace.com/communities/show/81a3887d-d904-498d-9532-272e055d1314,https://app.seniorplace.com/communities/show/81a3887d-d904-498d-9532-272e055d1314
1St Class Board And Care,,"9524 Encino Avenue, Northridge, Ca 91325",Northridge,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/978cd10d4b6a60576790da5336ee5461.jpg,,,https://app.seniorplace.com/communities/show/1a3a9fbb-4303-4f95-9a6c-ac5e0c6a3fc0,https://app.seniorplace.com/communities/show/1a3a9fbb-4303-4f95-9a6c-ac5e0c6a3fc0
1St Companion Residence,,"40341 15Th Street West, Palmdale, Ca 93551",Palmdale,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b4b569c56a7e59b8177de171df824f42.jpg,,,https://app.seniorplace.com/communities/show/fa9c38cd-5df9-4d20-91c1-9369149d315f,https://app.seniorplace.com/communities/show/fa9c38cd-5df9-4d20-91c1-9369149d315f
1St Golden Senior Care Home,,"1117 Erwin Drive, Palmdale, Ca 93551",Palmdale,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6da268fc5b1cc34611ef7faf8777e4a1.jpg,,,https://app.seniorplace.com/communities/show/8fe84bc9-9898-48b1-895a-d6aa7c86bca3,https://app.seniorplace.com/communities/show/8fe84bc9-9898-48b1-895a-d6aa7c86bca3
1St Pacific Coast Homes Ii,,"2585 Ardee Lane, South San Francisco, Ca 94080",South San Francisco,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1498de439320f8ce7657a12597021570.jpg,,,https://app.seniorplace.com/communities/show/4f65e8ac-aa79-4d61-b982-4df67e3ca19b,https://app.seniorplace.com/communities/show/4f65e8ac-aa79-4d61-b982-4df67e3ca19b
2 All About Seniors,,"1474 Pompey Drive, San Jose, Ca 95128",San Jose,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/7eb14b34f52fdd43c7b2a1c2a2fcf92d.jpg,,,https://app.seniorplace.com/communities/show/96d86c83-07d3-43c1-a286-7c5a7408d7ca,https://app.seniorplace.com/communities/show/96d86c83-07d3-43c1-a286-7c5a7408d7ca
2044 W Avenue H6,,"2044 Avenue H6, Lancaster, Ca 93536",Lancaster,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/95be05eaaa22720255dec511bebd1fc4.jpg,,,https://app.seniorplace.com/communities/show/bcf3dd28-0e56-4d21-8557-1d675b7d0f27,https://app.seniorplace.com/communities/show/bcf3dd28-0e56-4d21-8557-1d675b7d0f27
218Th Street House Hfl Harbor Gateway Homes,,"1418 West 218Th Street, Torrance, Ca 90501",Torrance,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/bcce49d3542bf449c1df3088d0d10a68.jpg,,,https://app.seniorplace.com/communities/show/429d1fc9-e318-4692-a2b6-5f28e0bd6724,https://app.seniorplace.com/communities/show/429d1fc9-e318-4692-a2b6-5f28e0bd6724
219Th Facility,,"1563 West 219Th Street, Torrance, Ca 90501",Torrance,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5bfc4d7334bacde5c18143a53b89a847.jpg,,,https://app.seniorplace.com/communities/show/9533bbd5-0e12-477e-87a5-728537cfdc76,https://app.seniorplace.com/communities/show/9533bbd5-0e12-477e-87a5-728537cfdc76
223Rd Street House Hfl Harbor Gateway Homes,,"1435 West 223Rd Street, Torrance, Ca 90501",Torrance,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6160613ba852920640dafde98fc40007.jpg,,,https://app.seniorplace.com/communities/show/dd48b90d-44f6-4e11-a7be-3376cacc5a8d,https://app.seniorplace.com/communities/show/dd48b90d-44f6-4e11-a7be-3376cacc5a8d
234Th Home,,"160 East 234Th Street, Carson, Ca 90745",Carson,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a82b9554bbf3912eaf3ab3ffb2257e32.jpg,,,https://app.seniorplace.com/communities/show/c740bd8f-992f-431a-8315-6eedaa00f903,https://app.seniorplace.com/communities/show/c740bd8f-992f-431a-8315-6eedaa00f903
246 Van Zant Home,,"455 East 246Th Place, Carson, Ca 90745",Carson,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/192ea5c9b93a111202304a44792423e2.jpg,,,https://app.seniorplace.com/communities/show/473b53f8-c933-4647-9ea8-f8518f4b87c3,https://app.seniorplace.com/communities/show/473b53f8-c933-4647-9ea8-f8518f4b87c3
254 East Sidlee,,"254 East Sidlee Street, Thousand Oaks, Ca 91360",Thousand Oaks,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c0a47fadb9e7c75a887890d0015e6fc2.jpg,,,https://app.seniorplace.com/communities/show/6a93548f-b37c-42cd-ba85-33f7f31490db,https://app.seniorplace.com/communities/show/6a93548f-b37c-42cd-ba85-33f7f31490db
2592 Ciro,,"2592 Ciro Avenue, Thousand Oaks, Ca 91360",Thousand Oaks,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d6b3ff9a2301c0848f1eb1293a174954.jpg,,,https://app.seniorplace.com/communities/show/a43dbe9e-0ecf-493e-b567-62606d890176,https://app.seniorplace.com/communities/show/a43dbe9e-0ecf-493e-b567-62606d890176
2Nd Avenue Residence,,"1861 2Nd Avenue, Walnut Creek, Ca 94597",Walnut Creek,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3585124230ea35a099041d5fab992c70.jpg,,,https://app.seniorplace.com/communities/show/5b11ebcc-6cb8-4cf8-b312-155909123a80,https://app.seniorplace.com/communities/show/5b11ebcc-6cb8-4cf8-b312-155909123a80
2Nd Choice,,"1460 North Towne Avenue, Claremont, Ca 91711",Claremont,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/8588bce64f2bc0b7c1f7c60b3f7ea6f9.jpg,,,https://app.seniorplace.com/communities/show/eadee23b-e5ca-473d-9def-fb74b6681d3b,https://app.seniorplace.com/communities/show/eadee23b-e5ca-473d-9def-fb74b6681d3b
2Nthesame Home,,"622 West Cypress Street, Compton, Ca 90220",Compton,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/83e7d1ff9bd13ba090f173ffcfc3315b.jpg,,,https://app.seniorplace.com/communities/show/f07ddff0-4dbf-47ea-bffa-64adaf3bb55e,https://app.seniorplace.com/communities/show/f07ddff0-4dbf-47ea-bffa-64adaf3bb55e
3 Angels Care Llc The,,"13005 Birkenfeld Avenue, Bakersfield, Ca 93314",Bakersfield,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6f231319c848dc980a106c61ae436454.jpg,,,https://app.seniorplace.com/communities/show/f19acb09-2e25-45ac-b81d-7e7f80f1980b,https://app.seniorplace.com/communities/show/f19acb09-2e25-45ac-b81d-7e7f80f1980b
333 Our Home Care,,"865 Churrituck Drive, San Diego, Ca 92154",San Diego,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/2ab8955232e690a8d572f5bcdf4895ed.jpg,,,https://app.seniorplace.com/communities/show/2acdc624-ac8a-43c9-bb10-b678746314d3,https://app.seniorplace.com/communities/show/2acdc624-ac8a-43c9-bb10-b678746314d3
345588888,,"2152 Valley View Boulevard, El Cajon, Ca 92019",El Cajon,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/2cb3cf43faaa67c8a3c5876a2916b308.jpg,,,https://app.seniorplace.com/communities/show/32b032e8-b94b-4abb-b5b2-59d0dc8d34d5,https://app.seniorplace.com/communities/show/32b032e8-b94b-4abb-b5b2-59d0dc8d34d5
360 Care,,"45328 Robinson Drive, Lancaster, Ca 93535",Lancaster,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/874dae1848710df0fdf18d638fa362b8.jpg,,,https://app.seniorplace.com/communities/show/073b1bbd-0385-4a6c-9269-714416f65a94,https://app.seniorplace.com/communities/show/073b1bbd-0385-4a6c-9269-714416f65a94
3Js Board Care Home,,"12778 Witherspoon Road, Chino, Ca 91710",Chino,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/953bb30163e299ea2400a2e5599fa4fa.jpg,,,https://app.seniorplace.com/communities/show/34f91e4a-b9fa-4d93-80cd-00572ceac77e,https://app.seniorplace.com/communities/show/34f91e4a-b9fa-4d93-80cd-00572ceac77e
3K Home Care,,"700 South Plymouth Place, Anaheim, Ca 92806",Anaheim,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ea49fa5ad89384e5d46ffad7a4516d01.jpg,,,https://app.seniorplace.com/communities/show/bcddc54f-c4c2-4a6a-b7aa-1a6d203a0602,https://app.seniorplace.com/communities/show/bcddc54f-c4c2-4a6a-b7aa-1a6d203a0602
3Rd Avenue,,"1247 3Rd Avenue, Los Angeles, Ca 90019",Los Angeles,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c78ba6c56bf3bf90c2293037ba8dfe38.jpg,,,https://app.seniorplace.com/communities/show/ab826a1e-952a-42f9-b150-b4d40a67a0d2,https://app.seniorplace.com/communities/show/ab826a1e-952a-42f9-b150-b4d40a67a0d2
3Scare,,"8616 Travary Way, Antelope, Ca 95843",Antelope,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c0eb295e609bb3e218167d18af1ea754.jpg,,,https://app.seniorplace.com/communities/show/aebd2f6c-00dc-41aa-865c-ca921aae5b03,https://app.seniorplace.com/communities/show/aebd2f6c-00dc-41aa-865c-ca921aae5b03
4 Aces Elderly Care,,"3920 Cobble Court, Palmdale, Ca 93551",Palmdale,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b3dd23d864f1ade6373060a906bd3e1d.jpg,,,https://app.seniorplace.com/communities/show/a86b2f9d-048a-41a8-ae2b-3423b4a6aa80,https://app.seniorplace.com/communities/show/a86b2f9d-048a-41a8-ae2b-3423b4a6aa80
