title,description,address,city,state,price,type,featured_image,photos,amenities,url,website,import_date,import_source,status
Golden Age Home Care Viii,,"3013 Queens Gate Court, Modesto, Ca 95355",Modesto,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/851e60df105841f1c9477c093c8cb545.jpg,,,https://app.seniorplace.com/communities/show/1cc9fce7-8091-43f2-ae17-95a4000e8466,https://app.seniorplace.com/communities/show/1cc9fce7-8091-43f2-ae17-95a4000e8466,2025-01-18,SeniorPlace Retry,publish
Golden Age Iv,,"3109 Iron Gate Drive, Modesto, Ca 95355",Modesto,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/06070c4769bd8caf0a71483c3c913a91.jpg,,,https://app.seniorplace.com/communities/show/c2afce1a-4040-42fa-b76b-38e9fbd5ba76,https://app.seniorplace.com/communities/show/c2afce1a-4040-42fa-b76b-38e9fbd5ba76,2025-01-18,SeniorPlace Retry,publish
Bonhomie I,,"1139 Dwyer Avenue, San Jose, Ca 95120",San Jose,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/11cf41afd31e54586bc9da8df37b3311.jpg,,,https://app.seniorplace.com/communities/show/ede6b9d3-e75d-4db8-bafe-01650602c77c,https://app.seniorplace.com/communities/show/ede6b9d3-e75d-4db8-bafe-01650602c77c,2025-01-18,SeniorPlace Retry,publish
Golden Age Living 1,,"3375 La Cadena Way, Sacramento, Ca 95835",Sacramento,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6fc696ff02235c6fed9b300fd1ef0257.jpg,,,https://app.seniorplace.com/communities/show/4132e0ea-aa48-4e23-abcc-627197b00867,https://app.seniorplace.com/communities/show/4132e0ea-aa48-4e23-abcc-627197b00867,2025-01-18,SeniorPlace Retry,publish
Bonhomie Iii Lena Drive,,"2795 Lena Drive, San Jose, Ca 95124",San Jose,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/91ff0140356c245c5a9e705f24e3895a.jpg,,,https://app.seniorplace.com/communities/show/83d451e5-7f78-4219-a333-96ebef616845,https://app.seniorplace.com/communities/show/83d451e5-7f78-4219-a333-96ebef616845,2025-01-18,SeniorPlace Retry,publish
Bonhurst Assisted Living Corp House I,,"1306 Bonhurst Drive, Redding, Ca 96003",Redding,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f278b02faa340fddfd2abb517a3e377a.jpg,,,https://app.seniorplace.com/communities/show/6151a8db-9c32-4d71-a5cc-b2105c146caa,https://app.seniorplace.com/communities/show/6151a8db-9c32-4d71-a5cc-b2105c146caa,2025-01-18,SeniorPlace Retry,publish
Golden Age Of Sweet Road,,"201 Sweet Road, Alameda, Ca 94502",Alameda,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b8de6c2a83233e1a1bd253f60040d458.jpg,,,https://app.seniorplace.com/communities/show/6a940421-8f2c-46a6-95c1-1917edaec1e2,https://app.seniorplace.com/communities/show/6a940421-8f2c-46a6-95c1-1917edaec1e2,2025-01-18,SeniorPlace Retry,publish
Golden Age Senior Homes 2,,"24922 Costeau Street, Laguna Hills, Ca 92653",Laguna Hills,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4db83259fdb9225495295c5f754803ea.jpg,,,https://app.seniorplace.com/communities/show/4381371a-8461-4027-8139-3262b8c9ec43,https://app.seniorplace.com/communities/show/4381371a-8461-4027-8139-3262b8c9ec43,2025-01-18,SeniorPlace Retry,publish
Golden Age Senior Living,,"7720 Denivelle Road, Los Angeles, Ca 91042",Los Angeles,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6caadd58640901755b79e34c1669408f.jpg,,,https://app.seniorplace.com/communities/show/80f77a4d-223d-42c1-99a8-0d64ff3914c0,https://app.seniorplace.com/communities/show/80f77a4d-223d-42c1-99a8-0d64ff3914c0,2025-01-18,SeniorPlace Retry,publish
Bonita Home Care 4,,"1732 Woodhaven Circle, Roseville, Ca 95747",Roseville,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/9f1407ec24a507593c2e7140ece877c2.jpg,,,https://app.seniorplace.com/communities/show/93a933d6-9d14-4eee-88fb-a877f10e15ac,https://app.seniorplace.com/communities/show/93a933d6-9d14-4eee-88fb-a877f10e15ac,2025-01-18,SeniorPlace Retry,publish
