title,address,city,state,zip,url,featured_image,care_types,care_types_raw
113 NORTH SENIOR CARE CENTER LLC,"113 NORTH AVENIDA DE SAN RAMON, Tucson, AZ 85710",Tucson,AZ,85710,https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e,,,
15298 W VENTURA ST LLC,"15298 West Ventura Street, Surprise, AZ 85379",Surprise,AZ,85379,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b36dddcafed54b54b45057868103c255.jpg,Assisted Living Home,Assisted Living Home
15TH WAY HOME ASSISTED CARE LLC,"15816 North 15th Way, Phoenix, AZ 85022",Phoenix,AZ,85022,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5137bf5e4152350b9ee392a3facb228e.jpg,Assisted Living Home,Assisted Living Home
"29192 ASSISTED LIVING, LLC","29192 North 76th Street, Scottsdale, AZ 85266",Scottsdale,AZ,85266,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,,Assisted Living Home,Assisted Living Home
55 Resort Apartments Scottsdale,"9449 N. 90th St, Scottsdale, AZ 85258",Scottsdale,AZ,85258,https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613,,,
55 Resorts Scottsdale at McCormick Ranch,"9449 N 90th ST, Scottsdal, AZ 85258",Scottsdal,AZ,85258,https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184,https://app.seniorplace.com/api/files/public/db13b7cb-e94a-42c0-bf1a-db3ad7e814e4,,
"8434 ASSISTED LIVING, LLC","8434 East La Junta Road, Scottsdale, AZ 85255",Scottsdale,AZ,85255,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/259e073d8df7e669192fd92ca325cc5d.jpg,Assisted Living Home,Assisted Living Home
A & I ADULT CARE HOME,"5327 East Anderson Drive, Scottsdale, AZ 85254",Scottsdale,AZ,85254,https://app.seniorplace.com/communities/show/6b552075-435a-45f2-8017-9d1508054958,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4616fd592f0cf53bf9dcb7d46b24b1a3.jpg,Assisted Living Home,Assisted Living Home
"A & M ASSISTED LIVING OF SCOTTSDALE, LLC","7512 East Larkspur Drive, Scottsdale, AZ 85260",Scottsdale,AZ,85260,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/909594c0966e36d8d19128705ee69d09.jpg,Assisted Living Home,Assisted Living Home
A A A ADULT CARE HOME,"5720 East 26th Street, Tucson, AZ 85711",Tucson,AZ,85711,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/90f6d1eed8ded5d33ae9355960d896fc.jpg,Assisted Living Home,Assisted Living Home
A BETTER CHOICE ASSISTED LIVING LLC,"9742 East Gelding Drive, Scottsdale, AZ 85260",Scottsdale,AZ,85260,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/92c20f82bae0c3ce591d625ee433ca9a.jpg,Assisted Living Home,Assisted Living Home
A BREATH OF LIFE CARE HOME LLC,"1715 West Calle Acapulco, Tucson, AZ 85713",Tucson,AZ,85713,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/125b701dfb425ce2361405fbd726367d.jpg,Assisted Living Home,Assisted Living Home
A CARING MANOR I,"20338 East Via Del Oro, Queen Creek, AZ 85142",Queen Creek,AZ,85142,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5dca446820ff368ab34b930cbd1ce9e4.jpg,Assisted Living Home,Assisted Living Home
A CARING MANOR II,"18642 East Cloud Road, Queen Creek, AZ 85142",Queen Creek,AZ,85142,https://app.seniorplace.com/communities/show/4e2dcc51-4ac7-40f1-b3a6-5a20f3759b99,https://app.seniorplace.com/api/files/public/ec168146-0a23-420b-844a-7de90006827f,Assisted Living Home,Assisted Living Home
A COTTAGE AT PAMPA ASSISTED LIVING,"9909 East Pampa Avenue, Mesa, AZ 85212",Mesa,AZ,85212,https://app.seniorplace.com/communities/show/bc66eb9a-8a42-49c5-9e76-f8921887366d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/104fb52d8e7e9cc97c98664733b86d12.jpg,Assisted Living Home,Assisted Living Home
A COUNTRY RETREAT,"412 Old Munds Highway, Flagstaff, AZ 86005",Flagstaff,AZ,86005,https://app.seniorplace.com/communities/show/d1393caf-0e76-49d6-8273-8489ff1d7500,,Assisted Living Home,Assisted Living Home
A D ASSISTED LIVING CAREHOME LLC,"3213 East Mitchell Drive, Phoenix, AZ 85018",Phoenix,AZ,85018,https://app.seniorplace.com/communities/show/cde90335-8ce2-4eba-8c68-b29c407a3b1b,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/05a2d4fe931a77a972c4065bc0c92711.jpg,Assisted Living Home,Assisted Living Home
A DIGNIFIED ADULT CARE HOME LLC,"14952 North 78th Avenue, Peoria, AZ 85381",Peoria,AZ,85381,https://app.seniorplace.com/communities/show/eda3e743-5df0-4bcb-b4e4-ee19df5f6412,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/eb638635f9c49d5e87cde8a5700c126d.jpg,Assisted Living Home,Assisted Living Home
"A GOLDEN RETREAT CARE HOME, LLC","18330 West Marconi Avenue, Surprise, AZ 85388",Surprise,AZ,85388,https://app.seniorplace.com/communities/show/dfc62f5b-99dc-4f54-a490-2c172c886c31,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a111d7b8b0c332a1ec9096ca4f2c0af5.jpg,Assisted Living Home,Assisted Living Home
"A HAPPY PLACE ADULT CARE HOME, INC.","4918 East Karen Drive, Scottsdale, AZ 85254",Scottsdale,AZ,85254,https://app.seniorplace.com/communities/show/11f3157d-e0bf-4e0f-a91c-bcfe07de6406,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/33070dc2b0b376a9b1252c91171e1bbb.jpg,Assisted Living Home,Assisted Living Home
A LOVING HEART ASSISTED LIVING II,"17450 West Wood Drive, Surprise, AZ 85388",Surprise,AZ,85388,https://app.seniorplace.com/communities/show/79b9e3ea-dd46-4a96-8c40-d56b5537a541,,Assisted Living Home,Assisted Living Home
A PARADISE FOR PARENT'S SENIOR LIVING LLC,"15292 Campbell Avenue, Goodyear, AZ 85395",Goodyear,AZ,85395,https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/8b6237034645fe30e2fe90ed0c71ed07.jpg,Assisted Living Home,Assisted Living Home
A PARADISE FOR PARENT'S SENIOR LIVING LLC,"15292 West Campbell Avenue, Goodyear, AZ 85395",Goodyear,AZ,85395,https://app.seniorplace.com/communities/show/b539965a-70ef-4b04-be04-a7d71728318e,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1d218d4d68166bc1a8f512dc1fa8a689.jpg,Assisted Living Home,Assisted Living Home
"A Paradise for Parents 2; ""Parents Paradise and Care""","18175 W. Banff Ln, Surprise, AZ 85388",Surprise,AZ,85388,https://app.seniorplace.com/communities/show/c3ed2b0e-5eb0-4f94-be7a-f42b727fd49c,https://app.seniorplace.com/api/files/public/f2013048-ac18-4b18-9523-dac72533c7ea,,
