title,address,location-name,state,url,featured_image,type,price
A1 Senior Care 2,"2040 Symphony Avenue, Roseville, Ca 95747",Roseville,CA,https://app.seniorplace.com/communities/show/33fc3ce7-0fbe-4916-9a81-84de7b0d8a5d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3af41d2b7591bd2954d740281b0ce974.jpg,Assisted Living Home,
A1 Senior Care 3,"421 Ashwood Way, Lincoln, Ca 95648",Lincoln,CA,https://app.seniorplace.com/communities/show/c9793abf-9d53-43ae-af76-d87f88e7c3ce,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d1d1b3fc6d898170db1eb6088b3816f9.jpg,Assisted Living Home,
A1 Senior Care 4,"201 Star Dream Court, Roseville, Ca 95747",Roseville,CA,https://app.seniorplace.com/communities/show/28ba8094-fc9a-4c13-8bbb-0a0f3f92817a,,Assisted Living Home,
A1Senior Care,"217 Hingham Court, Roseville, Ca 95747",Roseville,CA,https://app.seniorplace.com/communities/show/558c0023-4b47-4895-a9ad-b09af1f1c0b4,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/2112f8d9f2c92e63726696ce672b05ed.jpg,Assisted Living Home,
Aa Americare Home Care,"27710 Cherry Creek Drive, Santa Clarita, Ca 91354",Santa Clarita,CA,https://app.seniorplace.com/communities/show/5d0a0560-01f5-4b14-a525-7bff3facb19d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a1fa41dc47d63858e792ed768288e28e.jpg,Assisted Living Home,
Aa Best Care Homes,"857 Hearn Avenue, Santa Rosa, Ca 95407",Santa Rosa,CA,https://app.seniorplace.com/communities/show/10632e5b-9165-4dca-971d-03f019b05a3f,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/78b86694002c78723adf03ddb8592498.jpg,Assisted Living Community,
Aa Plus Care Home,"4458 Vía Del Valle, Yorba Linda, Ca 92886",Yorba Linda,CA,https://app.seniorplace.com/communities/show/b25afe57-bf4e-4639-9bb1-8d44edd423bb,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/500de8229fcc158df8c74a10af4673de.jpg,Assisted Living Home,
Aaa Care,"8445 Old Auburn Road, Citrus Heights, Ca 95610",Citrus Heights,CA,https://app.seniorplace.com/communities/show/758c2c32-27ad-4883-81e8-73477c917635,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/971cbf71541773b5b9745c5a4f4da25e.jpg,Assisted Living Home,
Aaa Home Care,"6268 Grand Canyon Drive, Roseville, Ca 95678",Roseville,CA,https://app.seniorplace.com/communities/show/98aa4e39-d3db-422b-862c-dcb28ae6229d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/068db5a734257852fe94b049d8aa502e.jpg,Assisted Living Home,
Aaa Jerusalem Stars,"5945 Capistrano Avenue, Los Angeles, Ca 91367",Los Angeles,CA,https://app.seniorplace.com/communities/show/11b6f0c3-6aa3-40b1-afdb-2782b752c055,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6fec63b2914977c33ca40a303d951d85.jpg,Assisted Living Home,
Aaa Kindness Care Ii,"3811 Dominion Road, Santa Maria, Ca 93454",Santa Maria,CA,https://app.seniorplace.com/communities/show/987c46d8-1bdd-4a16-ac18-1d1d8a288fd1,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b6db01e2d3fc6186c756b264b936e6a2.jpg,Assisted Living Community,
Aaa Laguna Hills Assistance Care Home,"25651 Califia Drive, Laguna Hills, Ca 92653",Laguna Hills,CA,https://app.seniorplace.com/communities/show/31daa2cb-53df-4b0e-9386-80c7b8952d3a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1b2d2965a4e76f2e121cf8d3c92b38de.jpg,Assisted Living Home,
Aaa Quality Residential Care Facility,"7843 Stansbury Avenue, Los Angeles, Ca 91402",Los Angeles,CA,https://app.seniorplace.com/communities/show/6f3fd9cf-e93d-4824-af98-b88880a88daa,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/970c487203a9dc3cb02b3079c616efa7.jpg,Assisted Living Home,
