title,address,city,state,zip,url,featured_image,care_types,care_types_raw
Fairwinds Rio Rancho - Do Not Refer for Now - Not Signing Contract,"920 Riverview Drive Southeast, Rio Rancho, NM 87124",Rio Rancho,NM,87124,https://app.seniorplace.com/communities/show/011ea08f-8259-436e-a7e1-603f7a888b7b,https://app.seniorplace.com/api/files/public/1d17e5ff-98c9-44af-9d2e-6e709f97d6f8,"Assisted Living Community, Independent Living","Independent Living, Assisted Living Facility"
High Resort Eye Surgery Center,"4100 High Resort Boulevard Southeast, High Resort, NM 87124",High Resort,NM,87124,https://app.seniorplace.com/communities/show/95a7128c-9e7f-4e79-9f24-6f91cb0ee372,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d9c2c9ad3c640660df270ac03a64b08e.jpg,Assisted Living Home,Assisted Living Home
Meadow City Assisted Living,"813 4th Street, Las Vegas, NM 87701",Las Vegas,NM,87701,https://app.seniorplace.com/communities/show/b23ed5a1-35df-43b7-bdac-fac765bff90b,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6bf2b34b70ffc966627b1de67bc64c4b.jpg,Assisted Living Home,Assisted Living Home
New Mexico Surgery Center Multi-Specialty,"2400 Unser Boulevard Southeast, Rio Rancho, NM 87124",Rio Rancho,NM,87124,https://app.seniorplace.com/communities/show/d9b177b9-4aa1-4c36-90ac-06c660e6a20e,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1a7141d80485a041062010ac0b46f426.jpg,Assisted Living Community,Assisted Living Facility
Roswell Surgery Center,"1400 West Country Club Road, Roswell, NM 88201",Roswell,NM,88201,https://app.seniorplace.com/communities/show/88bc6593-b328-4968-82a9-55d59ac303bd,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/364b3fe68cc05e9cfe3f782f030fd8c7.jpg,Assisted Living Home,Assisted Living Home
The Albuquerque Grand Senior Living,"1501 Tijeras Ave. NE, Albuquerque, NM 87106",Albuquerque,NM,87106,https://app.seniorplace.com/communities/show/0430516b-daff-453e-807e-4093e593535d,https://app.seniorplace.com/api/files/public/ac306a8e-495f-4b71-9fee-bb6074166b10,Independent Living,Independent Living
The Surgery Center of Las Cruces,"1205 South Telshor Boulevard, Las Cruces, NM 88011",Las Cruces,NM,88011,https://app.seniorplace.com/communities/show/15b97e0a-ae50-44e7-8bef-aeb607aed1cb,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/daca6e8b9710f13d13b18f0aa725495b.jpg,Assisted Living Community,Assisted Living Facility
Unm Dental Services - Camino De Salud Asc,"1801 Camino de Salud, Albuquerque, NM 87102",Albuquerque,NM,87102,https://app.seniorplace.com/communities/show/96b18619-3c66-4999-9615-0dfd9967e52a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/deec890f3a9f2f12dd2b9d80a0eb885e.jpg,Assisted Living Home,Assisted Living Home
Unm Hospital Ophthalmology-Ambulatory Surgical Center,"1600 University Boulevard Northeast, Albuquerque, NM 87102",Albuquerque,NM,87102,https://app.seniorplace.com/communities/show/466410f0-18c1-4b7e-8e70-528d02971caa,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a23fd08df3abfc7a6d9f87c53ead051b.jpg,Assisted Living Home,Assisted Living Home
Unmh Osis Surgery Center Ii,"1201 Camino de Salud, Albuquerque, NM 87102",Albuquerque,NM,87102,https://app.seniorplace.com/communities/show/423a704e-9793-48ff-bbe2-81b9e3deafd7,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a4e59e0bffbfbe84d05e23200382b50e.jpg,Assisted Living Home,Assisted Living Home
A & I Adult Care Home,"5327 East Anderson Drive, Scottsdale, AZ 85254",Scottsdale,AZ,85254,https://app.seniorplace.com/communities/show/6b552075-435a-45f2-8017-9d1508054958,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4616fd592f0cf53bf9dcb7d46b24b1a3.jpg,Assisted Living Home,Assisted Living Home
A Country Retreat,"412 Old Munds Highway, Flagstaff, AZ 86005",Flagstaff,AZ,86005,https://app.seniorplace.com/communities/show/d1393caf-0e76-49d6-8273-8489ff1d7500,,Assisted Living Home,Assisted Living Home
A Happy Place Adult Care Home,"4918 East Karen Drive, Scottsdale, AZ 85254",Scottsdale,AZ,85254,https://app.seniorplace.com/communities/show/11f3157d-e0bf-4e0f-a91c-bcfe07de6406,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/33070dc2b0b376a9b1252c91171e1bbb.jpg,Assisted Living Home,Assisted Living Home
A Paradise for Parent'S Senior Living,"15292 West Campbell Avenue, Goodyear, AZ 85395",Goodyear,AZ,85395,https://app.seniorplace.com/communities/show/b539965a-70ef-4b04-be04-a7d71728318e,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1d218d4d68166bc1a8f512dc1fa8a689.jpg,Assisted Living Home,Assisted Living Home
A Parent'S Paradise L L C,"15922 North 164th Lane, Surprise, AZ 85388",Surprise,AZ,85388,https://app.seniorplace.com/communities/show/3860d6c5-2af4-4129-b9a5-966aeed28e8f,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ccea538cac10510a34864aab9f70efce.jpg,Assisted Living Home,Assisted Living Home
A Place for Joy of Assisted Living Do Not Refer for Any Reason!,"1221 S Arroya Circle, Mesa, AZ 85206",Mesa,AZ,85206,https://app.seniorplace.com/communities/show/052673e9-eee6-4127-a59d-19c611fbd2b8,https://app.seniorplace.com/api/files/public/ccb45d84-437d-4046-abe2-f2bce1e9c37c,Assisted Living Home,Assisted Living Home
A Place for Mom and Dad Assisted Living,"7658 West Robin Lane, Peoria, AZ 85383",Peoria,AZ,85383,https://app.seniorplace.com/communities/show/93ebf3de-d601-47f6-8854-a071a9ffe627,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/62ce9d184bf5c3a5aceac50cc33c4f78.jpg,Assisted Living Home,Assisted Living Home
A Place in the Sun,"6879 East Vernon Avenue, Scottsdale, AZ 85257",Scottsdale,AZ,85257,https://app.seniorplace.com/communities/show/9f48f98a-3e17-4a52-b282-08254275e8e0,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/01ff9f03921818bdeaf5ed3b1f5887d2.jpg,Assisted Living Home,Assisted Living Home
A Special Place Care Home 2,"2543 West 20th Street, Yuma, AZ 85364",Yuma,AZ,85364,https://app.seniorplace.com/communities/show/8706efe7-39f5-485c-a381-d07297c9ca61,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/014adef0f87b4aa324688d275587680a.jpg,Assisted Living Home,Assisted Living Home
A Tender Touch Assisted Living Home Ii,"2827 East Thunderbird Road, Phoenix, AZ 85032",Phoenix,AZ,85032,https://app.seniorplace.com/communities/show/86eba556-1253-4e07-bc6c-9bea3767e53a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c4391894f81c548ab69509128a983e97.jpg,Assisted Living Home,Assisted Living Home
A Touch of Elegance Care Home,"7983 West Martha Way, Peoria, AZ 85381",Peoria,AZ,85381,https://app.seniorplace.com/communities/show/07de69a7-736e-4a74-ade5-15a1ca20cdf4,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f74ed47c27dcce283fec269da7822734.jpg,Assisted Living Home,Assisted Living Home
A Touch of Life,"44236 Roth Road, Maricopa, AZ 85138",Maricopa,AZ,85138,https://app.seniorplace.com/communities/show/023bfd01-c6bf-4110-b803-fa413ce99f79,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3e83a5fa8a9f2aaef8e6acb5b949b941.jpg,Assisted Living Home,Assisted Living Home
