ID,Title,City,State,SeniorPlaceURL,SeniorlyURL,NormalizedTypes,NormalizedTypeIDs
,113 North Senior Care Center,Tucson,Arizona,https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e,,,
,15298 W Ventura St,Surprise,Arizona,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,,Assisted Living Home,162
,15Th Way Home Assisted Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,,Assisted Living Home,162
,29192 Assisted Living,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,,Assisted Living Home,162
,55 Resort Apartments Scottsdale,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613,,,
,55 Resorts Scottsdale At Mccormick Ranch,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184,,,
,8434 Assisted Living,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,,Assisted Living Home,162
,A M Assisted Living Of Scottsdale,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,,Assisted Living Home,162
,A A A Adult Care Home,Tucson,Arizona,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,,Assisted Living Home,162
,A Better Choice Assisted Living,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,,Assisted Living Home,162
,A Breath Of Life Care Home,Tucson,Arizona,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,,Assisted Living Home,162
,A Caring Manor I,Queen Creek,Arizona,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,,Assisted Living Home,162
,A Caring Manor Ii,Queen Creek,Arizona,https://app.seniorplace.com/communities/show/4e2dcc51-4ac7-40f1-b3a6-5a20f3759b99,,Assisted Living Home,162
,A Cottage At Pampa Assisted Living,Mesa,Arizona,https://app.seniorplace.com/communities/show/bc66eb9a-8a42-49c5-9e76-f8921887366d,,Assisted Living Home,162
,A D Assisted Living Carehome,Phoenix,Arizona,https://app.seniorplace.com/communities/show/cde90335-8ce2-4eba-8c68-b29c407a3b1b,,Assisted Living Home,162
,A Dignified Adult Care Home,Peoria,Arizona,https://app.seniorplace.com/communities/show/eda3e743-5df0-4bcb-b4e4-ee19df5f6412,,Assisted Living Home,162
