ID,Title,URL,OldSerialized,NormalizedTypes,NormalizedTypeIDs,SerializedWritten
?,15298 W Ventura St,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,15Th Way Home Assisted Care,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,29192 Assisted Living,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,8434 Assisted Living,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A M Assisted Living Of Scottsdale,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A A A Adult Care Home,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Better Choice Assisted Living,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Breath Of Life Care Home,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Caring Manor I,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Caring Manor Ii,https://app.seniorplace.com/communities/show/4e2dcc51-4ac7-40f1-b3a6-5a20f3759b99,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Cottage At Pampa Assisted Living,https://app.seniorplace.com/communities/show/bc66eb9a-8a42-49c5-9e76-f8921887366d,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A D Assisted Living Carehome,https://app.seniorplace.com/communities/show/cde90335-8ce2-4eba-8c68-b29c407a3b1b,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Dignified Adult Care Home,https://app.seniorplace.com/communities/show/eda3e743-5df0-4bcb-b4e4-ee19df5f6412,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
