ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Attachment URL,Care Levels,Locations,States,_wp_page_template,_address,address,_phone,phone,_website,website,_price,price,_location-name,location-name,_type,_amenities,_photos,photos,_location,location,type,completeness_score,_thumbnail_id,amenities,state,_state,_wp_old_slug,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date,normalized_types,normalized_type_ids,raw_types
6718,113 North Senior Care Center,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/113-north-senior-care-center/,,,,,,,,,Tucson,Arizona,default,field_6813f255a7266,"113 North Avenida De San Ramon, Tucson, Az 85710",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e,field_682e9adea745b,,field_682f4d903ba5f,Tucson,field_682fc481aaf60,field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:99;},a:1:{i:0;i:1;},0,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,113-north-senior-care-center,,default,0,0,0,open,open,2025-07-07 21:21:48,,,
6719,15298 W Ventura St,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/15298-w-ventura-st/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/b36dddcafed54b54b45057868103c255.jpg,b36dddcafed54b54b45057868103c255,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/b36dddcafed54b54b45057868103c255.jpg,,,Surprise,Arizona,default,field_6813f255a7266,"15298 West Ventura Street, Surprise, Az 85379",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,field_682e9adea745b,,field_682f4d903ba5f,Surprise,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:97;},a:1:{i:0;i:162;},2,15081,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,15298-w-ventura-st,,default,0,0,0,open,open,2025-07-07 21:21:48,Assisted Living Home,162,"Assisted Living Home, Directed Care"
6720,15Th Way Home Assisted Care,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/15th-way-home-assisted-care/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/5137bf5e4152350b9ee392a3facb228e.jpg,5137bf5e4152350b9ee392a3facb228e,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/5137bf5e4152350b9ee392a3facb228e.jpg,,,Phoenix,Arizona,default,field_6813f255a7266,"15816 North 15Th Way, Phoenix, Az 85022",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,field_682e9adea745b,,field_682f4d903ba5f,Phoenix,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:107;},a:1:{i:0;i:162;},2,15082,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,15th-way-home-assisted-care,,default,0,0,0,open,open,2025-07-07 21:21:49,Assisted Living Home,162,"Assisted Living Home, Directed Care"
6721,29192 Assisted Living,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/29192-assisted-living/,,,,,,,,,Scottsdale,Arizona,default,field_6813f255a7266,"29192 North 76Th Street, Scottsdale, Az 85266",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},a:1:{i:0;i:162;},0,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,29192-assisted-living,,default,0,0,0,open,open,2025-07-07 21:21:50,Assisted Living Home,162,"Assisted Living Home, Directed Care"
6722,55 Resort Apartments Scottsdale,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/55-resort-apartments-scottsdale/,,,,,,,,,Scottsdale,Arizona,default,field_6813f255a7266,"9449 N 90Th Street, Scottsdale, Az 85258",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,field_682fc481aaf60,field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},a:1:{i:0;i:1;},0,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,55-resort-apartments-scottsdale,,default,0,0,0,open,open,2025-07-07 21:21:50,,,
6723,55 Resorts Scottsdale At Mccormick Ranch,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/55-resorts-scottsdale-at-mccormick-ranch/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/db13b7cb-e94a-42c0-bf1a-db3ad7e814e4.jpeg,db13b7cb-e94a-42c0-bf1a-db3ad7e814e4,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/db13b7cb-e94a-42c0-bf1a-db3ad7e814e4.jpeg,,,Scottsdale,Arizona,default,field_6813f255a7266,"9449 N 90Th Street, Scottsdal, Az 85258",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,field_682fc481aaf60,field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,"a:1:{i:0;s:3:""111"";}",a:1:{i:0;i:1;},2,15083,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,55-resorts-scottsdale-at-mccormick-ranch,,default,0,0,0,closed,closed,2025-07-07 21:21:50,,,
6724,8434 Assisted Living,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/8434-assisted-living/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/259e073d8df7e669192fd92ca325cc5d.jpg,259e073d8df7e669192fd92ca325cc5d,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/259e073d8df7e669192fd92ca325cc5d.jpg,,,Scottsdale,Arizona,default,field_6813f255a7266,"8434 East La Junta Road, Scottsdale, Az 85255",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},a:1:{i:0;i:162;},2,15084,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,8434-assisted-living,,default,0,0,0,open,open,2025-07-07 21:21:51,Assisted Living Home,162,"Assisted Living Home, Directed Care"
6726,A M Assisted Living Of Scottsdale,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-m-assisted-living-of-scottsdale/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/909594c0966e36d8d19128705ee69d09.jpg,909594c0966e36d8d19128705ee69d09,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/909594c0966e36d8d19128705ee69d09.jpg,,,Scottsdale,Arizona,default,field_6813f255a7266,"7512 East Larkspur Drive, Scottsdale, Az 85260",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},a:1:{i:0;i:162;},2,15085,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-m-assisted-living-of-scottsdale,,default,0,0,0,open,open,2025-07-07 21:21:51,Assisted Living Home,162,"Assisted Living Home, Directed Care"
6727,A A A Adult Care Home,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-a-a-adult-care-home/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/90f6d1eed8ded5d33ae9355960d896fc.jpg,90f6d1eed8ded5d33ae9355960d896fc,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/90f6d1eed8ded5d33ae9355960d896fc.jpg,,,Tucson,Arizona,default,field_6813f255a7266,"5720 East 26Th Street, Tucson, Az 85711",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,field_682e9adea745b,,field_682f4d903ba5f,Tucson,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:99;},a:1:{i:0;i:162;},2,15086,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-a-a-adult-care-home,,default,0,0,0,open,open,2025-07-07 21:21:52,Assisted Living Home,162,"Assisted Living Home, Directed Care"
6728,A Better Choice Assisted Living,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-better-choice-assisted-living/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/92c20f82bae0c3ce591d625ee433ca9a.jpg,92c20f82bae0c3ce591d625ee433ca9a,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/92c20f82bae0c3ce591d625ee433ca9a.jpg,,,Scottsdale,Arizona,default,field_6813f255a7266,"9742 East Gelding Drive, Scottsdale, Az 85260",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},a:1:{i:0;i:162;},2,15087,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-better-choice-assisted-living,,default,0,0,0,open,open,2025-07-07 21:21:53,Assisted Living Home,162,"Assisted Living Home, Directed Care"
