ID,Title,WordPress_Type,Senior_Place_Types,Should_Be_Type,Corrected_Normalized_Types
,A Family Affair Alh,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Abbington Senior Living,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Abes Touching Hearts Al,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Aberdeen Home,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Acacia Health Center,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Acoya Scottsdale At Troon,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,Acoya Shea,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Aegis At Cassia,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Alta Mesa Health And Rehabilitation,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Alta Vista Senior Living Community,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,American Dream Home,Other/Unknown,"Assisted Living Home, Board And Care Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,American Dream Home Ii,Other/Unknown,"Assisted Living Home, Board And Care Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,American Groves Senior Living Lp,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,American Orchards Senior Living,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Andara Senior Living,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Arbor Ridge,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Arbor Rose Senior Care,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Arroyo Gardens Independent And Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Asov Borrower,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Assisted Livings At Lifestream,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
