ID,Title,seniorplace_url,seniorly_url,seniorplace_types,normalized_types
6725,A I Adult Care Home,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6733,A Country Retreat,,https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat,Assisted Living Home,Assisted Living Home
6738,A Happy Place Adult Care Home,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6742,A Paradise For Parents Senior Living,https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,Assisted Living Home,Assisted Living Home
6745,A Parents Paradise,,https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6748,A Place In The Sun,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,"Assisted Living Home, Board And Care Home",Assisted Living Home
6752,A Tender Touch Assisted Living Ii,,https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii,"Assisted Living Home, Board And Care Home",Assisted Living Home
6753,A Touch Of Elegance Care Home,,https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6762,Abellavida Memory Care,,https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,"Assisted Living Home, Memory Care","Assisted Living Home, Memory Care"
6768,Abracadabra Assisted Living 2,,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,"Assisted Living Home, Board And Care Home",Assisted Living Home
6769,Absolute Assisted Living Adult Care Home,,https://www.seniorly.com/assisted-living/arizona/mesa/absolute-assisted-living-adult-care-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6772,Abuelos At Edgewood Place,,https://www.seniorly.com/assisted-living/arizona/tucson/abuelos-at-edgewood-place,"Assisted Living Home, Board And Care Home",Assisted Living Home
6778,Acacia Cove Assisted Living,,https://www.seniorly.com/assisted-living/arizona/glendale/acacia-cove-assisted-living,"Assisted Living Home, Board And Care Home",Assisted Living Home
6784,Acoya Mesa,,https://www.seniorly.com/assisted-living/arizona/mesa/acoya-mesa,"Assisted Living Home, Independent Living, Memory Care","Assisted Living Home, Independent Living, Memory Care"
6791,Adagio Alh,,https://www.seniorly.com/assisted-living/arizona/phoenix/adagio-alh,Assisted Living Home,Assisted Living Home
6794,Adobe Adult Care Home,,https://www.seniorly.com/assisted-living/arizona/tucson/adobe-adult-care-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6804,Aegis At 38Th Place Assisted Living Ii,,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-38th-place-assisted-living-ii,Assisted Living Home,Assisted Living Home
6808,Aegis At Fairview Assisted Living,,https://www.seniorly.com/assisted-living/arizona/chandler/aegis-at-fairview-assisted-living-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6810,Aegis At Redwood Assisted Living,,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-redwood-assisted-living-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6812,Affirmative Care Home,,https://www.seniorly.com/assisted-living/arizona/tucson/affirmative-care-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6814,Agape Care Home Of Scottsdale,,https://www.seniorly.com/assisted-living/arizona/scottsdale/agape-care-home-of-scottsdale,"Assisted Living Home, Board And Care Home",Assisted Living Home
6818,Agave Assisted Living Ii,,https://www.seniorly.com/assisted-living/arizona/peoria/agave-assisted-living-home-ii,"Assisted Living Home, Board And Care Home",Assisted Living Home
6819,Agave Care Home Of Scottsdale,,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-care-home-of-scottsdale,Assisted Living Home,Assisted Living Home
6821,Agave Manor,,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-manor,"Assisted Living Home, Board And Care Home, Memory Care","Assisted Living Home, Memory Care"
6822,Ageless Angels Alh 2,,https://www.seniorly.com/assisted-living/arizona/chandler/ageless-angels-alh-2,Assisted Living Home,Assisted Living Home
6825,Aguilera Assisted Living,https://app.seniorplace.com/communities/show/2b14e824-32f0-4d79-b9dd-4fb2a9b4884b,https://www.seniorly.com/assisted-living/arizona/tucson/aguilera-assisted-living-home,Assisted Living Home,Assisted Living Home
6827,Ahwatukee Adult Care Iii,,https://www.seniorly.com/assisted-living/arizona/phoenix/ahwatukee-adult-care-iii,"Assisted Living Home, Board And Care Home",Assisted Living Home
6840,All Care Assisted,,https://www.seniorly.com/assisted-living/arizona/surprise/all-care-assisted,"Assisted Living Home, Board And Care Home",Assisted Living Home
6846,Allegiance Assisted Living,,https://www.seniorly.com/assisted-living/arizona/mesa/allegiance-assisted-living-llc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6848,Aloha Assisted Living,,https://www.seniorly.com/assisted-living/arizona/tucson/aloha-assisted-living-home-llc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6849,Aloha Assisted Living,,https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale,"Assisted Living Home, Board And Care Home",Assisted Living Home
6857,Amandas Care Home,,https://www.seniorly.com/assisted-living/arizona/mesa/amanda-s-care-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6865,Amber Assisted Living,,https://www.seniorly.com/assisted-living/arizona/phoenix/amber-assisted-living-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6867,Amber Lights,,https://www.seniorly.com/assisted-living/arizona/tucson/amber-lights,"Assisted Living Home, Independent Living","Assisted Living Home, Independent Living"
6869,Ambiance Al,,https://www.seniorly.com/assisted-living/arizona/phoenix/ambiance-al,"Assisted Living Home, Board And Care Home",Assisted Living Home
6871,Ambience Care Home,,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-peoria,Assisted Living Home,Assisted Living Home
6872,Ambience Care Home 2,,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-2,"Assisted Living Home, Board And Care Home",Assisted Living Home
6875,American Dream Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/american-dream-home,"Assisted Living Home, Board And Care Home, Memory Care","Assisted Living Home, Memory Care"
6887,Anas Haven At Cedar,,https://www.seniorly.com/assisted-living/arizona/chandler/ana-s-haven-at-cedar,"Assisted Living Home, Board And Care Home",Assisted Living Home
6891,Angel Care Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-care-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6895,Angels Adult Group Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-s-adult-group-home-llc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6902,Angelic Heart Assisted Living,,https://www.seniorly.com/assisted-living/arizona/chandler/dignified-assisted-living-llc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6903,Angels Assisted Living,,https://www.seniorly.com/assisted-living/arizona/chandler/angels-assisted-living-home,"Assisted Living Home, Board And Care Home",Assisted Living Home
6918,Apollo Residential Assisted Living,,https://www.seniorly.com/assisted-living/arizona/glendale/apollo-residential-assisted-living,"Assisted Living Home, Board And Care Home",Assisted Living Home
6923,Arcadia Assisted Care,,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-assisted-care,"Assisted Living Home, Board And Care Home",Assisted Living Home
6926,Arcadia Grove Assisted Living,,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-grove-assisted-living-home,Assisted Living Home,Assisted Living Home
6928,Arcadia Woods Assisted Living,,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-woods-assisted-living,Assisted Living Home,Assisted Living Home
6930,Archangel Assisted Living,,https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living-inc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6945,Arizona Desert Falls,,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-desert-falls,Assisted Living Home,Assisted Living Home
6946,Arizona Elderly Care Alh,,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-elderly-care-alh,"Assisted Living Home, Board And Care Home",Assisted Living Home
6948,Arizona Pioneers Home,,https://www.seniorly.com/assisted-living/arizona/prescott/arizona-pioneers-home,"Assisted Living Home, Independent Living, Nursing Home","Assisted Living Home, Independent Living, Nursing Home"
6949,Arizona Premier Adult Care Ii,,https://www.seniorly.com/assisted-living/arizona/mesa/arizona-premier-adult-care-ii-llc,"Assisted Living Home, Board And Care Home",Assisted Living Home
6951,Arizona Royal Care Home,,https://www.seniorly.com/assisted-living/arizona/scottsdale/arizona-royal-care-home-llc,"Assisted Living Home, Board And Care Home",Assisted Living Home
