ID,Title,Address,Website,Source
11880,A Love For Life,"7534 Bear Canyon Road Northeast, Bear Canyon, Nm 87109",https://app.seniorplace.com/communities/show/b31963b7-62f0-40b1-b3b9-4575ca65a7ca,seniorplace
11882,A Love For Life,"4108 Alcazar Street Northeast, Albuquerque, Nm 87109",https://app.seniorplace.com/communities/show/c725d27a-f6ee-43ee-8c4c-48ec2263b25a,seniorplace
6741,A Paradise For Parents Senior Living,"15292 Campbell Avenue, Goodyear, Az 85395",https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,seniorplace
6742,A Paradise For Parents Senior Living,"15292 West Campbell Avenue, Goodyear, Az 85395",https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,seniorly
6751,A Special Place Care Home,"4240 West 21St Lane, Yuma, Az 85364",https://app.seniorplace.com/communities/show/042870fa-33a5-4950-8945-d5c60e4e72cc,seniorplace
11213,A Special Place Care Home,"4240 West 21 Lane, Yuma, Az 85364",https://www.seniorly.com/assisted-living/arizona/yuma/a-special-place-care-home,seniorly
11891,A Wildflower Assisted Living And Care Home,"1355 Ammons Street, Denver, Co 80214",https://app.seniorplace.com/communities/show/b7be47eb-24c0-4098-889a-bd1b0832e4d3,seniorplace
11893,A Wildflower Assisted Living And Care Home,"8417 West 74Th Place, Arvada, Co 80005",https://app.seniorplace.com/communities/show/9f431046-b830-4178-bf7b-b699e08d57a7,seniorplace
11895,A Wildflower Assisted Living And Care Home,"10130 Melody Drive, Northglenn, Co 80260",https://app.seniorplace.com/communities/show/fb16a527-6630-4e2e-8901-810b8ffc9c10,seniorplace
11897,A Wildflower Assisted Living And Care Home,"6197 West 83Rd Way, Arvada, Co 80003",https://app.seniorplace.com/communities/show/084aa593-ae50-4291-be0c-c931ddd8dae2,seniorplace
11899,A Wildflower Assisted Living And Care Home,"9423 West 64Th Avenue, Arvada, Co 80004",https://app.seniorplace.com/communities/show/bd722838-e59c-4e8b-a080-080ab0f0f8e9,seniorplace
11901,A Wildflower Assisted Living And Care Home,"8823 Princeton Street, Westminster, Co 80031",https://app.seniorplace.com/communities/show/ca95e8e7-6caf-43b9-8661-2ae230fd7ab0,seniorplace
6783,Acoma Assisted Living,"5820 West Acoma Drive, Glendale, Az 85306",https://app.seniorplace.com/communities/show/436ffb7b-0855-45a6-83db-d2ccc4eae64b,seniorplace
10784,Acoma Assisted Living,"3437 West Acoma Drive, Phoenix, Az 85053",https://www.seniorly.com/assisted-living/arizona/phoenix/acoma-assisted-living-home,seniorly
10993,Acoya Shea,"7373 East Shea Boulevard, Scottsdale, Az 85260",https://www.seniorly.com/assisted-living/arizona/scottsdale/acoya-shea-senior-living,seniorly
6786,Acoya Shea,"7373 E Shea Boulevard, Scottsdale, Az 85260",https://app.seniorplace.com/communities/show/bd140ecf-f482-46a3-9097-dda13dc37447,seniorplace
6790,Acuna At Morning Sun,"35597 North Bandolier Drive, San Tan Valley, Az 85144",https://app.seniorplace.com/communities/show/4a1723d3-48f1-4940-a331-09f58491e80f,seniorplace
10591,Acuna At Morning Sun,"35597 North Bandolier Drive, San Tan Valley, Az 85142",https://www.seniorly.com/assisted-living/arizona/san-tan-valley/acuna-at-morning-sun,seniorly
11952,Advantage Assisted Living,"1729 Wellspring Avenue Southeast, Rio Rancho, Nm 87124",https://app.seniorplace.com/communities/show/82020c19-819a-419b-ab4a-9569e6e87558,seniorplace
11950,Advantage Assisted Living,"1760 Rincon Road Southeast, Rio Rancho, Nm 87124",https://app.seniorplace.com/communities/show/bec08a19-13aa-433e-923d-1d5b282b29ac,seniorplace
10300,Aging Gracefully,"4105 West Villa Linda Drive, Glendale, Az 85310",https://www.seniorly.com/assisted-living/arizona/glendale/aging-gracefully,seniorly
6824,Aging Gracefully,"4101 West Hartford Avenue, Glendale, Az 85308",https://app.seniorplace.com/communities/show/31e82778-f8da-4b56-b711-5c6b5523b347,seniorplace
6830,Ahwatukee Manor Assisted Living,"3539 East Ahwatukee Court, Ahwatukee, Az 85044",https://app.seniorplace.com/communities/show/ab7a2842-cf71-4e7c-87a4-78ef120ebcdb,seniorplace
6829,Ahwatukee Manor Assisted Living,"3539 East Ahwatukee Court, Phoenix, Az 85044",https://app.seniorplace.com/communities/show/742984c9-e721-4864-a81d-885a86f76e95,seniorplace
10590,Alder Leaf Assisted Living,"21151 East Via De Arboles, Queen Creek, Az 85142",https://www.seniorly.com/assisted-living/arizona/queen-creek/alder-leaf-assisted-living,seniorly
6835,Alder Leaf Assisted Living,"21151 Vía De Arboles, Queen Creek, Az 85142",https://app.seniorplace.com/communities/show/4a010675-d490-4298-9b79-f3d609b967d8,seniorplace
