ID,Title,Slug,website,senior_place_url,seniorly_url,normalized_types,__source
,Beatitudes Campus,beatitudes-campus,https://app.seniorplace.com/communities/show/bf36039b-5db3-4d71-91bb-97419ad3b2b5,https://app.seniorplace.com/communities/show/bf36039b-5db3-4d71-91bb-97419ad3b2b5,,"Assisted Living Community, Independent Living, Memory Care, Nursing Home, Home Care",SENIORLY_CARE_TYPES_UPDATED.csv
,Blue Sky Hospice,blue-sky-hospice,https://app.seniorplace.com/communities/show/799ef299-9d68-4631-a4ce-dc1a92d8b3a0,https://app.seniorplace.com/communities/show/799ef299-9d68-4631-a4ce-dc1a92d8b3a0,,Home Care,SENIORLY_CARE_TYPES_UPDATED.csv
,Dementia Campus Assisted Living Center,dementia-campus-assisted-living-center,https://app.seniorplace.com/communities/show/8081d170-dba7-4a8c-b4df-f294402dac74,https://app.seniorplace.com/communities/show/8081d170-dba7-4a8c-b4df-f294402dac74,,"Assisted Living Community, Home Care",SENIORLY_CARE_TYPES_UPDATED.csv
,Friendship Village Of Tempe,friendship-village-of-tempe,https://app.seniorplace.com/communities/show/d9368866-3f24-468b-a714-484ef479a18d,https://app.seniorplace.com/communities/show/d9368866-3f24-468b-a714-484ef479a18d,,"Assisted Living Community, Memory Care, Nursing Home, Home Care",SENIORLY_CARE_TYPES_UPDATED.csv
,Park Senior Villas Chandler,park-senior-villas-chandler,https://app.seniorplace.com/communities/show/312175ed-e388-4b79-ba84-bbaf86433f74,https://app.seniorplace.com/communities/show/312175ed-e388-4b79-ba84-bbaf86433f74,,"Assisted Living Community, Home Care",SENIORLY_CARE_TYPES_UPDATED.csv
,Solstice Senior Living Sun City West,solstice-senior-living-sun-city-west,https://app.seniorplace.com/communities/show/17242a16-e8ae-47ee-ac9a-86791cdbc0c1,https://app.seniorplace.com/communities/show/17242a16-e8ae-47ee-ac9a-86791cdbc0c1,,"Independent Living, Home Care",SENIORLY_CARE_TYPES_UPDATED.csv
,Tuscany Mccormick Ranch,tuscany-mccormick-ranch,https://app.seniorplace.com/communities/show/6f456d96-3b3d-4f5b-9c9e-bd1010a90fb9,https://app.seniorplace.com/communities/show/6f456d96-3b3d-4f5b-9c9e-bd1010a90fb9,,"Independent Living, Home Care",SENIORLY_CARE_TYPES_UPDATED.csv
,A Bridge Home,a-bridge-home,https://app.seniorplace.com/communities/show/b96d0a5e-e0dc-4d53-82ee-dea185fc923d,https://app.seniorplace.com/communities/show/b96d0a5e-e0dc-4d53-82ee-dea185fc923d,,Home Care,SENIORLY_CARE_TYPES_UPDATED.csv
,Aplus Healthcare At Home Home Health,aplus-healthcare-at-home-home-health,https://app.seniorplace.com/communities/show/0ce44f1f-5f60-4f95-b501-f22e1fe7de8b,https://app.seniorplace.com/communities/show/0ce44f1f-5f60-4f95-b501-f22e1fe7de8b,,Home Care,SENIORLY_CARE_TYPES_UPDATED.csv
,Ability Home Health,ability-home-health,https://app.seniorplace.com/communities/show/2b69de32-4385-4b4e-9859-27771f831c95,https://app.seniorplace.com/communities/show/2b69de32-4385-4b4e-9859-27771f831c95,,Home Care,SENIORLY_CARE_TYPES_UPDATED.csv
,Ability Hospice,ability-hospice,https://app.seniorplace.com/communities/show/0208c275-e1be-4a5b-aa23-cb51890e243a,https://app.seniorplace.com/communities/show/0208c275-e1be-4a5b-aa23-cb51890e243a,,Home Care,SENIORLY_CARE_TYPES_UPDATED.csv
