ID,Title,Slug,website,senior_place_url,seniorly_url,normalized_types,__source
6948,Arizona Pioneers Home,,,,https://www.seniorly.com/assisted-living/arizona/prescott/arizona-pioneers-home,"Assisted Living Home, Independent Living, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7275,Christian Care Assisted Living,,,,https://www.seniorly.com/assisted-living/arizona/phoenix/christian-care-assisted-living-inc,"Assisted Living Home, Memory Care, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7451,Devon Gables Rehabilitation Center,,,,https://www.seniorly.com/assisted-living/arizona/tucson/devon-gables-rehabilitation-center-llc,"Assisted Living Home, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
8711,Mirabella At Asu,,,,https://www.seniorly.com/assisted-living/arizona/tempe/mirabella-at-asu,"Assisted Living Home, Assisted Living Community, Memory Care, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
9417,Scottsdale Village Square,,,,https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-village-square-a-pacifica-senior-living-community,"Assisted Living Home, Assisted Living Community, Independent Living, Memory Care, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
10663,Oasis Pavilion Nursing Rehabilitation Center,,,,https://www.seniorly.com/assisted-living/arizona/casa-grande/oasis-pavilion-nursing-rehabilitation-center,"Assisted Living Home, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
10664,Aspire Transitional Care,,,,https://www.seniorly.com/assisted-living/arizona/flagstaff/aspire-transitional-care,"Assisted Living Home, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
10665,Haven Of Flagstaff,,,,https://www.seniorly.com/assisted-living/arizona/flagstaff/haven-of-flagstaff,"Assisted Living Home, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
10667,The Legacy Rehab Care Center,,,,https://www.seniorly.com/assisted-living/arizona/tucson/the-legacy-rehab-care-center,"Assisted Living Home, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
10673,Life Care Center Of Scottsdale,,,,https://www.seniorly.com/assisted-living/arizona/scottsdale/life-care-center-of-scottsdale,"Assisted Living Home, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
10681,Sante Of North Scottsdale,,,,https://www.seniorly.com/assisted-living/arizona/gilbert/sante-of-north-scottsdale,"Assisted Living Home, Nursing Home",CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
