ID,Title,seniorly_url,normalized_types
6948,Arizona Pioneers Home,https://www.seniorly.com/assisted-living/arizona/prescott/arizona-pioneers-home,"Assisted Living Home, Independent Living, Nursing Home"
7275,Christian Care Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/christian-care-assisted-living-inc,"Assisted Living Home, Memory Care, Nursing Home"
7451,Devon Gables Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/tucson/devon-gables-rehabilitation-center-llc,"Assisted Living Home, Nursing Home"
8711,Mirabella At Asu,https://www.seniorly.com/assisted-living/arizona/tempe/mirabella-at-asu,"Assisted Living Home, Assisted Living Community, Memory Care, Nursing Home"
9417,Scottsdale Village Square,https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-village-square-a-pacifica-senior-living-community,"Assisted Living Home, Assisted Living Community, Independent Living, Memory Care, Nursing Home"
10663,Oasis Pavilion Nursing Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/casa-grande/oasis-pavilion-nursing-rehabilitation-center,"Assisted Living Home, Nursing Home"
10664,Aspire Transitional Care,https://www.seniorly.com/assisted-living/arizona/flagstaff/aspire-transitional-care,"Assisted Living Home, Nursing Home"
10665,Haven Of Flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff/haven-of-flagstaff,"Assisted Living Home, Nursing Home"
10667,The Legacy Rehab Care Center,https://www.seniorly.com/assisted-living/arizona/tucson/the-legacy-rehab-care-center,"Assisted Living Home, Nursing Home"
10673,Life Care Center Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/life-care-center-of-scottsdale,"Assisted Living Home, Nursing Home"
10681,Sante Of North Scottsdale,https://www.seniorly.com/assisted-living/arizona/gilbert/sante-of-north-scottsdale,"Assisted Living Home, Nursing Home"
10694,Citadel Post Acute,https://www.seniorly.com/assisted-living/arizona/mesa/citadel-post-acute,"Assisted Living Home, Nursing Home"
10695,Apache Junction Health Center,https://www.seniorly.com/assisted-living/arizona/apache/apache-junction-health-center,"Assisted Living Home, Nursing Home"
10696,Mi Casa Nursing Center,https://www.seniorly.com/assisted-living/arizona/tempe/mi-casa-nursing-center,"Assisted Living Home, Nursing Home"
10697,Sante Of Mesa,https://www.seniorly.com/assisted-living/arizona/litchfield-park/sante-of-mesa,"Assisted Living Home, Nursing Home"
10698,Rio Vista Post Acute Rehabilitation,https://www.seniorly.com/assisted-living/arizona/peoria/rio-vista-post-acute-and-rehabilitation,"Assisted Living Home, Nursing Home"
10699,Palm Valley Rehabilitation Care Center,https://www.seniorly.com/assisted-living/arizona/goodyear/palm-valley-rehabilitation-care-center,"Assisted Living Home, Nursing Home"
10700,Haven Health Camp Verde Assisted Living,https://www.seniorly.com/assisted-living/arizona/camp-verde/haven-of-camp-verde,"Assisted Living Home, Nursing Home"
10701,Solterra At White Mountains Two Ops,https://www.seniorly.com/assisted-living/arizona/lakeside/solterra-at-white-mountains-two-ops-llc,"Assisted Living Home, Memory Care, Nursing Home"
10702,Chandler Post Acute And Rehabilitation,https://www.seniorly.com/assisted-living/arizona/chandler/chandler-post-acute-and-rehabilitation,"Assisted Living Home, Nursing Home"
10703,The Center At Val Vista,https://www.seniorly.com/assisted-living/arizona/phoenix/the-center-at-val-vista,"Assisted Living Home, Nursing Home"
