wp_id,title,address,seniorly_url,city,state
6725,A I Adult Care Home,"5327 East Anderson Drive, Scottsdale, Az 85254",https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,,
6733,A Country Retreat,"412 Old Munds Highway, Flagstaff, Az 86005",https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat,,
6738,A Happy Place Adult Care Home,"4918 East Karen Drive, Scottsdale, Az 85254",https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,,
6745,A Parents Paradise,"15922 North 164Th Lane, Surprise, Az 85388",https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,,
6748,A Place In The Sun,"6879 East Vernon Avenue, Scottsdale, Az 85257",https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,,
6752,A Tender Touch Assisted Living Ii,"2827 East Thunderbird Road, Phoenix, Az 85032",https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii,,
6753,A Touch Of Elegance Care Home,"7983 West Martha Way, Peoria, Az 85381",https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,,
6762,Abellavida Memory Care,"35203 North Central Avenue, Phoenix, Az 85086",https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,,
6768,Abracadabra Assisted Living 2,"3501 West Wood Drive, Phoenix, Az 85029",https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,,
6769,Absolute Assisted Living Adult Care Home,"3557 East Caballero Street, Mesa, Az 85213",https://www.seniorly.com/assisted-living/arizona/mesa/absolute-assisted-living-adult-care-home,,
6772,Abuelos At Edgewood Place,"7141 North Edgewood Place, Tucson, Az 85704",https://www.seniorly.com/assisted-living/arizona/tucson/abuelos-at-edgewood-place,,
6778,Acacia Cove Assisted Living,"5964 West Bluefield Avenue, Glendale, Az 85308",https://www.seniorly.com/assisted-living/arizona/glendale/acacia-cove-assisted-living,,
6784,Acoya Mesa,"6502 East Brown Road, Mesa, Az 85205",https://www.seniorly.com/assisted-living/arizona/mesa/acoya-mesa,,
6791,Adagio Alh,"1045 East Bethany Home Road, Phoenix, Az 85014",https://www.seniorly.com/assisted-living/arizona/phoenix/adagio-alh,,
6794,Adobe Adult Care Home,"8028 North Firethorn Avenue, Tucson, Az 85741",https://www.seniorly.com/assisted-living/arizona/tucson/adobe-adult-care-home,,
6804,Aegis At 38Th Place Assisted Living Ii,"13201 South 38Th Place, Phoenix, Az 85044",https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-38th-place-assisted-living-ii,,
6808,Aegis At Fairview Assisted Living,"2371 East Fairview Street, Chandler, Az 85225",https://www.seniorly.com/assisted-living/arizona/chandler/aegis-at-fairview-assisted-living-home,,
6810,Aegis At Redwood Assisted Living,"4332 East Redwood Lane, Phoenix, Az 85048",https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-redwood-assisted-living-home,,
6812,Affirmative Care Home,"8074 East 8Th Street, Tucson, Az 85710",https://www.seniorly.com/assisted-living/arizona/tucson/affirmative-care-home,,
6814,Agape Care Home Of Scottsdale,"5920 East Ludlow Drive, Scottsdale, Az 85254",https://www.seniorly.com/assisted-living/arizona/scottsdale/agape-care-home-of-scottsdale,,
6818,Agave Assisted Living Ii,"8854 West Irma Lane, Peoria, Az 85382",https://www.seniorly.com/assisted-living/arizona/peoria/agave-assisted-living-home-ii,,
6819,Agave Care Home Of Scottsdale,"4833 East Marconi Avenue, Scottsdale, Az 85254",https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-care-home-of-scottsdale,,
6821,Agave Manor,"5937 East Cactus Road, Scottsdale, Az 85254",https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-manor,,
6822,Ageless Angels Alh 2,"783 East Gemini Place, Chandler, Az 85249",https://www.seniorly.com/assisted-living/arizona/chandler/ageless-angels-alh-2,,
6825,Aguilera Assisted Living,"4740 West Via Aguilera, Tucson, Az 85745",https://www.seniorly.com/assisted-living/arizona/tucson/aguilera-assisted-living-home,,
6827,Ahwatukee Adult Care Iii,"5135 East Half Moon Drive, Phoenix, Az 85044",https://www.seniorly.com/assisted-living/arizona/phoenix/ahwatukee-adult-care-iii,,
6840,All Care Assisted,"18224 North 168Th Avenue, Surprise, Az 85374",https://www.seniorly.com/assisted-living/arizona/surprise/all-care-assisted,,
6846,Allegiance Assisted Living,"2243 South Gaucho, Mesa, Az 85202",https://www.seniorly.com/assisted-living/arizona/mesa/allegiance-assisted-living-llc,,
6848,Aloha Assisted Living,"8260 East Vicksburg Street, Tucson, Az 85710",https://www.seniorly.com/assisted-living/arizona/tucson/aloha-assisted-living-home-llc,,
6849,Aloha Assisted Living,"3414 North 81St Street, Scottsdale, Az 85251",https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale,,
