ID,Title,type,normalized_types,original_types,fixed_types,correction_reason
,Scottsdale Village Square,a:4:{i:0;i:162;i:1;i:6;i:2;i:3;i:3;i:7;},"Assisted Living Home, Independent Living, Memory Care, Nursing Home","Assisted Living Home, Assisted Living Community, Independent Living, Memory Care, Nursing Home","Assisted Living Home, Independent Living, Memory Care, Nursing Home",Removed duplicate Assisted Living Community (kept Home)
,Alpine Manor Ii,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Ashley Manor Beverly Hills,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Ashley Manor Iowa,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Ashley Manor Care Centers Inc Elgin Way,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Ashley Manor Care Centers Inc Highmont,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Ashley Manor Care Centers Inc Orchard,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Assured Senior Living Arvada,a:3:{i:0;i:162;i:1;i:3;i:2;i:488;},"Assisted Living Home, Memory Care, Home Care","Assisted Living Community, Assisted Living Home, Memory Care, Home Care","Assisted Living Home, Memory Care, Home Care",Removed duplicate Assisted Living Community (kept Home)
,Basil Celany Living Center,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Beehive Homes Of Kanab,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
