seniorly_wp_id,seniorly_title,seniorly_address,seniorly_url,senior_place_wp_id,senior_place_title,senior_place_address,senior_place_url,address_similarity,city,state,title_similarity
6742,A Paradise For Parents Senior Living,"15292 West Campbell Avenue, Goodyear, Az 85395",https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,6741,A Paradise For Parents Senior Living,"15292 Campbell Avenue, Goodyear, Az 85395",https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,0.972972972972973,,,1.000
6968,Arrowhead Senior Living Ii,"6958 West Kristal Way, Glendale, Az 85308",https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living-ii,6967,Arrowhead Senior Living I I,"6958 West Kristal Way, Glendale, Az 85308",https://app.seniorplace.com/communities/show/227a1dcf-7550-494d-ab23-1f2df2d1635b,1.0,,,0.981
7349,County Villa,"802 West 4Th Place, Mesa, Az 85201",https://www.seniorly.com/assisted-living/arizona/mesa/county-villa-llc,7347,Country Villa,"802 W 4Th Pl, Mesa, Az 85201",https://app.seniorplace.com/communities/show/37d343f1-f655-4d65-9dc5-a014133fee97,1.0,,,0.960
7355,Crismon Peaks Assisted Living,"10027 East Hillview Street, Mesa, Az 85207",https://www.seniorly.com/assisted-living/arizona/mesa/crismon-peaks-assisted-living-llc,7354,Crismon Peaks Assisted Living,"10027 Hillview Street, Mesa, Az 85207",https://app.seniorplace.com/communities/show/fe22bf3e-f20d-4c50-b37c-7bb350cf0508,0.96875,,,1.000
8096,Higley House Care Home,"885 North Los Gatos Lane, Gilbert, Az 85234",https://www.seniorly.com/assisted-living/arizona/gilbert/higley-house-care-home-llc,8094,Higley House Care Home,"885 North Losgatos Lane, Gilbert, Az 85234",https://app.seniorplace.com/communities/show/e6cfdd21-5039-495d-88fe-777c67571861,0.9855072463768116,,,1.000
10302,Canyon Winds Retirement Community,"7311 East Oasis Street, Mesa, Az 85207",https://www.seniorly.com/assisted-living/arizona/mesa/canyon-winds-retirement,7197,Canyon Winds Retirement,"7311 East Oasis Street, Mesa, Az 85207",https://app.seniorplace.com/communities/show/abbcc562-0053-4920-b842-950ddae4843e,1.0,,,0.821
10304,Visions Senior Living At Apache Junction,"1510 East Broadway Avenue, Apache Junction, Az 85119",https://www.seniorly.com/assisted-living/arizona/apache-junction/visions-senior-living-at-apache-junction-2,10149,Visions Senior Living At Apache Junction 2,"1510 East Broadway Avenue, Apache Junction, Az 85119",https://app.seniorplace.com/communities/show/f90f0f4d-687c-4deb-a5ce-69c2e26e5865,1.0,,,0.976
10308,Visions Assisted Living At Mesa,"537 South Higley Road, Mesa, Az 85206",https://www.seniorly.com/assisted-living/arizona/mesa/visions-senior-living-at-mesa-2,10151,Visions Senior Living At Mesa 2,"537 South Higley Road, Mesa, Az 85206",https://app.seniorplace.com/communities/show/b04cfc67-f3b8-4505-a799-68f9c6abce05,1.0,,,0.806
10310,Fellowship Square Mesa,"6945 East Main Street, Mesa, Az 85207",https://www.seniorly.com/assisted-living/arizona/mesa/fellowship-square-mesa,7684,Fellowship Squaremesa,"6945 East Main Street, Mesa, Az 85207",https://app.seniorplace.com/communities/show/84ec2b46-c7db-47cd-a984-a520076cc9a5,1.0,,,0.977
10315,Senior Haven Assisted Living,"1111 West Superstition Boulevard, Apache Junction, Az 85120",https://www.seniorly.com/assisted-living/arizona/apache-junction/senior-haven-assisted-living-home,7868,Golden Years Haven Assisted Living,"1111 West Superstition Boulevard, Apache Junction, Az 85120",https://app.seniorplace.com/communities/show/ff7ba7a4-a1f8-433f-8f0f-a3a1dc4ce287,1.0,,,0.806
10320,Peaceful And Comfort Assisted Living,"6532 East Hannibal, Mesa, Az 85205",https://www.seniorly.com/assisted-living/arizona/mesa/peaceful-and-comfort-assisted-living-home,9084,Peaceful And Comfort Assisted Living,"6532 East Hannibal Street, Mesa, Az 85205",https://app.seniorplace.com/communities/show/bfe1b9fa-23b4-4b18-ad95-81d7fcadbc03,0.9508196721311475,,,1.000
10322,Reflections At Fellowship Square Mesa,"159 South Power Road, Mesa, Az 85206",https://www.seniorly.com/assisted-living/arizona/mesa/reflections-at-fellowship-square-mesa,9250,Reflections At Fellowship Square Mesa,"159 South Power Road, Mesa, Az 85207",https://app.seniorplace.com/communities/show/97ffc74f-5145-4330-898b-45c75d878055,0.9642857142857143,,,1.000
10323,Desert Springs Communites,"6662 East Delmon Drive, Mesa, Az 85215",https://www.seniorly.com/assisted-living/arizona/mesa/desert-springs-communites,7433,Desert Springs Communities,"6662 East Delmon Drive, Mesa, Az 85215",https://app.seniorplace.com/communities/show/3a9d343e-8b71-4d60-b956-e35398bd9fe4,1.0,,,0.980
10329,Mulberry Assisted Living Nido,"10743 East Nido Avenue, Mesa, Az 85209",https://www.seniorly.com/assisted-living/arizona/mesa/mulberry-assisted-living-nido,8792,Mulberry Assisted Livingnido,"10743 East Nido Avenue, Mesa, Az 85209",https://app.seniorplace.com/communities/show/f17c751f-9800-4e05-a856-547443b9bafa,1.0,,,0.982
