ID,Title,address,website
9335,Royal Oaks Assisted Living Center,"10025 West Royal Oak Road, Sun City, Az 85351",https://app.seniorplace.com/communities/show/226be915-ecbe-4853-8416-a8be700582d8
10639,The Care Center At Royal Oaks,"10025 West Royal Oak Road, Sun City, Az 85351",https://www.seniorly.com/assisted-living/arizona/sun-city/the-care-center-at-royal-oaks
9949,The Retreat,"10031 East Desert Cove Avenue, Scottsdale, Az 85260",https://app.seniorplace.com/communities/show/00fc6e3e-a868-4669-9e5d-a8fd2e75de9f
9953,The Retreat At Desert Cove,"10031 East Desert Cove Avenue, Scottsdale, Az 85260",https://www.seniorly.com/assisted-living/arizona/scottsdale/the-retreat-at-desert-cove
7172,Brookhaven On 131St Place,"10125 North 131St Place, Scottsdale, Az 85259",https://app.seniorplace.com/communities/show/3ff34616-f43d-4c81-b5ab-bc86905a1d28
10684,Scottsdale Life Assisted Living,"10125 North 131St Place, Scottsdale, Az 85259",https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-life-assisted-living-llc
9509,Sherwood Village Assisted Living And Memory Care,"102 South Sherwood Village Drive, Tucson, Az 85710",https://app.seniorplace.com/communities/show/27fd0baf-72ab-49f2-a85d-207648f40b5e
11137,Sherwood Village Assisted Living Memory Care,"102 South Sherwood Village Drive, Tucson, Az 85710",https://www.seniorly.com/assisted-living/arizona/tucson/sherwood-village-assisted-living-and-memory-care
10247,Woodland Palms,"1020 North Woodland Avenue, Tucson, Az 85711",https://app.seniorplace.com/communities/show/6b74ff8f-43e7-45ad-b5e6-5a3c7f11ef0a
11132,Woodland Palms Memory Care,"1020 North Woodland Avenue, Tucson, Az 85711",https://www.seniorly.com/assisted-living/arizona/tucson/woodland-palms-assisted-living
13336,Harvard Square By Cogir,"10200 East Harvard Avenue, Denver, Co 80231",https://app.seniorplace.com/communities/show/91800897-5e7a-4b2e-b881-4cabe911f065
13338,Harvard Square Retirement Community,"10200 East Harvard Avenue, Denver, Co 80231",https://app.seniorplace.com/communities/show/524ca4b8-2f6a-40a6-aea5-ece0ca3f2d2f
7418,Desert Palm At The Park,"10234 North 7Th Avenue, Phoenix, Az 85021",https://app.seniorplace.com/communities/show/62dd26b7-0b3e-4499-aa72-caa6f0404105
10722,The Park At 7Th Avenue Assisted Living Center,"10234 North 7Th Avenue, Phoenix, Az 85021",https://www.seniorly.com/assisted-living/arizona/phoenix/the-park-at-7th-avenue-assisted-living-center
6838,Alert Adult Care,"10247 West Missouri Avenue, Glendale, Az 85307",https://app.seniorplace.com/communities/show/4ea65196-0600-4b92-b70c-9b266de8e3f5
10367,Dayster Assisted Living,"10247 West Missouri Avenue, Glendale, Az 85307",https://www.seniorly.com/assisted-living/arizona/glendale/dayster-assisted-living-home
13776,Maple Springs,"1040 Medical Drive, Brigham City, Ut 84302",https://app.seniorplace.com/communities/show/85088d6b-d857-4529-b4ea-a18b2fb9b0de
13778,Maple Springs Of Brigham City,"1040 Medical Drive, Brigham City, Ut 84302",https://app.seniorplace.com/communities/show/dbada2e6-300d-4fa3-81e4-0578fbc81502
8064,Heritage Lane Behavioral West,"1040 South Lebaron, Mesa, Az 85210",https://app.seniorplace.com/communities/show/cc16d527-6696-4f9e-986b-a7e2501e8bfe
