ID,Title,Address,Website,Source,Seniorly_URL,Senior_Place_URL,Phone,Normalized_Address
9335,Royal Oaks Assisted Living Center,"10025 West Royal Oak Road, Sun City, Az 85351",https://app.seniorplace.com/communities/show/226be915-ecbe-4853-8416-a8be700582d8,seniorplace,,field_68af89a6f8692,,10025 w royal oak rd sun city az 85351
10639,The Care Center At Royal Oaks,"10025 West Royal Oak Road, Sun City, Az 85351",https://www.seniorly.com/assisted-living/arizona/sun-city/the-care-center-at-royal-oaks,seniorly,https://www.seniorly.com/assisted-living/arizona/sun-city/the-care-center-at-royal-oaks,field_68af89a6f8692,,10025 w royal oak rd sun city az 85351
9949,The Retreat,"10031 East Desert Cove Avenue, Scottsdale, Az 85260",https://app.seniorplace.com/communities/show/00fc6e3e-a868-4669-9e5d-a8fd2e75de9f,seniorplace,,field_68af89a6f8692,,10031 e desert cove ave scottsdale az 85260
9953,The Retreat At Desert Cove,"10031 East Desert Cove Avenue, Scottsdale, Az 85260",https://www.seniorly.com/assisted-living/arizona/scottsdale/the-retreat-at-desert-cove,seniorly,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-retreat-at-desert-cove,field_68af89a6f8692,,10031 e desert cove ave scottsdale az 85260
7172,Brookhaven On 131St Place,"10125 North 131St Place, Scottsdale, Az 85259",https://app.seniorplace.com/communities/show/3ff34616-f43d-4c81-b5ab-bc86905a1d28,seniorplace,,field_68af89a6f8692,,10125 n 131st place scottsdale az 85259
10684,Scottsdale Life Assisted Living,"10125 North 131St Place, Scottsdale, Az 85259",https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-life-assisted-living-llc,seniorly,https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-life-assisted-living-llc,field_68af89a6f8692,,10125 n 131st place scottsdale az 85259
9509,Sherwood Village Assisted Living And Memory Care,"102 South Sherwood Village Drive, Tucson, Az 85710",https://app.seniorplace.com/communities/show/27fd0baf-72ab-49f2-a85d-207648f40b5e,seniorplace,,field_68af89a6f8692,,102 s sherwood village dr tucson az 85710
11137,Sherwood Village Assisted Living Memory Care,"102 South Sherwood Village Drive, Tucson, Az 85710",https://www.seniorly.com/assisted-living/arizona/tucson/sherwood-village-assisted-living-and-memory-care,seniorly,https://www.seniorly.com/assisted-living/arizona/tucson/sherwood-village-assisted-living-and-memory-care,field_68af89a6f8692,,102 s sherwood village dr tucson az 85710
10247,Woodland Palms,"1020 North Woodland Avenue, Tucson, Az 85711",https://app.seniorplace.com/communities/show/6b74ff8f-43e7-45ad-b5e6-5a3c7f11ef0a,seniorplace,,field_68af89a6f8692,,1020 n woodland ave tucson az 85711
11132,Woodland Palms Memory Care,"1020 North Woodland Avenue, Tucson, Az 85711",https://www.seniorly.com/assisted-living/arizona/tucson/woodland-palms-assisted-living,seniorly,https://www.seniorly.com/assisted-living/arizona/tucson/woodland-palms-assisted-living,field_68af89a6f8692,,1020 n woodland ave tucson az 85711
