ID,type
11909,a:1:{i:0;i:3;}
6758,a:1:{i:0;i:3;}
6762,a:1:{i:0;i:3;}
11915,a:1:{i:0;i:3;}
6784,a:1:{i:0;i:3;}
6786,a:1:{i:0;i:3;}
6821,a:1:{i:0;i:3;}
11973,a:1:{i:0;i:3;}
11975,a:1:{i:0;i:3;}
8680,a:1:{i:0;i:3;}
6851,a:1:{i:0;i:3;}
11981,a:1:{i:0;i:3;}
11983,a:1:{i:0;i:3;}
11987,a:1:{i:0;i:3;}
6866,a:1:{i:0;i:3;}
6875,a:1:{i:0;i:3;}
6878,a:1:{i:0;i:3;}
11995,a:1:{i:0;i:3;}
6889,a:1:{i:0;i:3;}
12006,a:1:{i:0;i:3;}
12010,a:1:{i:0;i:3;}
6921,a:1:{i:0;i:3;}
6962,a:1:{i:0;i:3;}
12060,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
7110,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
10508,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
9068,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12100,a:1:{i:0;i:3;}
12106,a:1:{i:0;i:3;}
12130,a:1:{i:0;i:3;}
12133,a:1:{i:0;i:3;}
12178,a:1:{i:0;i:3;}
12182,a:1:{i:0;i:3;}
12187,a:1:{i:0;i:3;}
7008,a:1:{i:0;i:3;}
7009,a:1:{i:0;i:3;}
7011,a:1:{i:0;i:3;}
12193,a:1:{i:0;i:3;}
12206,a:1:{i:0;i:3;}
12212,a:1:{i:0;i:3;}
12218,a:1:{i:0;i:3;}
12222,a:1:{i:0;i:3;}
12224,a:1:{i:0;i:3;}
7028,a:1:{i:0;i:3;}
12227,a:1:{i:0;i:3;}
12229,a:1:{i:0;i:3;}
12230,a:1:{i:0;i:3;}
12231,a:1:{i:0;i:3;}
7036,a:1:{i:0;i:3;}
12237,a:1:{i:0;i:3;}
12239,a:1:{i:0;i:3;}
12241,a:1:{i:0;i:3;}
12243,a:1:{i:0;i:3;}
12245,a:1:{i:0;i:3;}
12249,a:1:{i:0;i:3;}
7061,a:1:{i:0;i:3;}
12265,a:1:{i:0;i:3;}
7065,a:1:{i:0;i:3;}
12391,a:1:{i:0;i:3;}
12397,a:1:{i:0;i:3;}
12405,a:1:{i:0;i:3;}
7087,a:1:{i:0;i:3;}
12421,a:1:{i:0;i:3;}
7102,a:1:{i:0;i:3;}
12423,a:1:{i:0;i:3;}
12429,a:1:{i:0;i:3;}
7123,a:1:{i:0;i:3;}
12442,a:1:{i:0;i:3;}
12444,a:1:{i:0;i:3;}
12446,a:1:{i:0;i:3;}
12450,a:1:{i:0;i:3;}
12452,a:1:{i:0;i:3;}
12464,a:1:{i:0;i:3;}
10072,a:1:{i:0;i:3;}
12488,a:1:{i:0;i:3;}
12478,a:1:{i:0;i:3;}
12490,a:1:{i:0;i:3;}
12492,a:1:{i:0;i:3;}
12494,a:1:{i:0;i:3;}
12498,a:1:{i:0;i:3;}
12512,a:1:{i:0;i:3;}
12515,a:1:{i:0;i:3;}
7147,a:1:{i:0;i:3;}
12523,a:1:{i:0;i:3;}
12527,a:1:{i:0;i:3;}
7148,a:1:{i:0;i:3;}
7149,a:1:{i:0;i:3;}
7150,a:1:{i:0;i:3;}
12529,a:1:{i:0;i:3;}
12531,a:1:{i:0;i:3;}
7153,a:1:{i:0;i:3;}
7155,a:1:{i:0;i:3;}
7157,a:1:{i:0;i:3;}
12535,a:1:{i:0;i:3;}
12537,a:1:{i:0;i:3;}
12541,a:1:{i:0;i:3;}
12543,a:1:{i:0;i:3;}
12545,a:1:{i:0;i:3;}
12551,a:1:{i:0;i:3;}
12559,a:1:{i:0;i:3;}
12567,a:1:{i:0;i:3;}
7158,a:1:{i:0;i:3;}
7159,a:1:{i:0;i:3;}
12570,a:1:{i:0;i:3;}
7161,a:1:{i:0;i:3;}
7162,a:1:{i:0;i:3;}
7163,a:1:{i:0;i:3;}
12572,a:1:{i:0;i:3;}
12574,a:1:{i:0;i:3;}
12576,a:1:{i:0;i:3;}
12582,a:1:{i:0;i:3;}
7167,a:1:{i:0;i:3;}
7168,a:1:{i:0;i:3;}
12587,a:1:{i:0;i:3;}
12592,a:1:{i:0;i:3;}
7170,a:1:{i:0;i:3;}
12602,a:1:{i:0;i:3;}
12606,a:1:{i:0;i:3;}
12612,a:1:{i:0;i:3;}
7180,a:1:{i:0;i:3;}
7185,a:1:{i:0;i:3;}
7193,a:1:{i:0;i:3;}
7195,a:1:{i:0;i:3;}
7197,a:1:{i:0;i:3;}
12640,a:1:{i:0;i:3;}
7207,a:1:{i:0;i:3;}
12659,a:1:{i:0;i:3;}
7222,a:1:{i:0;i:3;}
7222,a:1:{i:0;i:3;}
12671,a:1:{i:0;i:3;}
7244,a:1:{i:0;i:3;}
12702,a:1:{i:0;i:3;}
7246,a:1:{i:0;i:3;}
7248,a:1:{i:0;i:3;}
12713,a:1:{i:0;i:3;}
12727,a:1:{i:0;i:3;}
12729,a:1:{i:0;i:3;}
12739,a:1:{i:0;i:3;}
12743,a:1:{i:0;i:3;}
12751,a:1:{i:0;i:3;}
7280,a:1:{i:0;i:3;}
7280,a:1:{i:0;i:3;}
7280,a:1:{i:0;i:3;}
7280,a:1:{i:0;i:3;}
7280,a:1:{i:0;i:3;}
7280,a:1:{i:0;i:3;}
7280,a:1:{i:0;i:3;}
7280,a:1:{i:0;i:3;}
7287,a:1:{i:0;i:3;}
7293,a:1:{i:0;i:3;}
7294,a:1:{i:0;i:3;}
7298,a:1:{i:0;i:3;}
7299,a:1:{i:0;i:3;}
7300,a:1:{i:0;i:3;}
7301,a:1:{i:0;i:3;}
12765,a:1:{i:0;i:3;}
12771,a:1:{i:0;i:3;}
12773,a:1:{i:0;i:3;}
12775,a:1:{i:0;i:3;}
12800,a:1:{i:0;i:3;}
12816,a:1:{i:0;i:3;}
10932,a:1:{i:0;i:3;}
7329,a:1:{i:0;i:3;}
12820,a:1:{i:0;i:3;}
12824,a:1:{i:0;i:3;}
7338,a:1:{i:0;i:3;}
12831,a:1:{i:0;i:3;}
12833,a:1:{i:0;i:3;}
12835,a:1:{i:0;i:3;}
12837,a:1:{i:0;i:3;}
12839,a:1:{i:0;i:3;}
12840,a:1:{i:0;i:3;}
12842,a:1:{i:0;i:3;}
7341,a:1:{i:0;i:3;}
7308,a:1:{i:0;i:3;}
12855,a:1:{i:0;i:3;}
