ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Attachment URL,Care Levels,Locations,States,_wp_page_template,_address,address,_phone,phone,_website,website,_price,price,_location-name,location-name,_type,type,_amenities,_photos,photos,_location,location,completeness_score,_thumbnail_id,_senior_place_url,senior_place_url,_seniorly_url,seniorly_url,amenities,state,_state,care_level,_care_level,_wp_old_slug,_wp_desired_post_slug,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date,normalized_types,correction_reason
6719,15298 W Ventura St,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/15298-w-ventura-st/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/b36dddcafed54b54b45057868103c255.jpg,b36dddcafed54b54b45057868103c255,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/b36dddcafed54b54b45057868103c255.jpg,,,Surprise,Arizona,default,field_6813f255a7266,"15298 West Ventura Street, Surprise, Az 85379",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,field_682e9adea745b,,field_682f4d903ba5f,Surprise,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:97;},2,15081,field_68af89a6f8692,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,15298-w-ventura-st,,default,0,0,0,open,open,2025-08-27 22:45:29,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
6720,15Th Way Home Assisted Care,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/15th-way-home-assisted-care/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/5137bf5e4152350b9ee392a3facb228e.jpg,5137bf5e4152350b9ee392a3facb228e,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/5137bf5e4152350b9ee392a3facb228e.jpg,,,Phoenix,Arizona,default,field_6813f255a7266,"15816 North 15Th Way, Phoenix, Az 85022",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,field_682e9adea745b,,field_682f4d903ba5f,Phoenix,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:107;},2,15082,field_68af89a6f8692,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,15th-way-home-assisted-care,,default,0,0,0,open,open,2025-08-27 22:45:29,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
6721,29192 Assisted Living,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/29192-assisted-living/,,,,,,,,,Scottsdale,Arizona,default,field_6813f255a7266,"29192 North 76Th Street, Scottsdale, Az 85266",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},0,,field_68af89a6f8692,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,29192-assisted-living,,default,0,0,0,open,open,2025-08-27 22:45:29,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
6724,8434 Assisted Living,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/8434-assisted-living/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/259e073d8df7e669192fd92ca325cc5d.jpg,259e073d8df7e669192fd92ca325cc5d,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/259e073d8df7e669192fd92ca325cc5d.jpg,,,Scottsdale,Arizona,default,field_6813f255a7266,"8434 East La Junta Road, Scottsdale, Az 85255",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},2,15084,field_68af89a6f8692,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,8434-assisted-living,,default,0,0,0,open,open,2025-08-27 22:45:30,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
6725,A I Adult Care Home,"A & I Adult Care Home creates a space where seniors can feel secure and cared for. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. From daily routines to special moments, residents are supported every step of the way.",,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-i-adult-care-home/,,,,,,,,,Scottsdale,Arizona,default,field_6813f255a7266,"5327 East Anderson Drive, Scottsdale, Az 85254",field_68152ed96a2d0,,field_68152f2303743,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,field_682e9adea745b,3110.0,field_682f4d903ba5f,Scottsdale,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},10,,field_68af89a6f8692,,field_68af89b8e4cd0,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,a:18:{i:0;i:11;i:1;i:12;i:2;i:19;i:3;i:23;i:4;i:24;i:5;i:8;i:6;i:30;i:7;i:32;i:8;i:35;i:9;i:38;i:10;i:40;i:11;i:41;i:12;i:42;i:13;i:66;i:14;i:57;i:15;i:60;i:16;i:61;i:17;i:64;},,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-i-adult-care-home,,default,0,0,0,open,open,2025-08-28 19:08:29,Assisted Living Home,"Updated to match Senior Place: Assisted Living Home, Board And Care Home"
6726,A M Assisted Living Of Scottsdale,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-m-assisted-living-of-scottsdale/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/909594c0966e36d8d19128705ee69d09.jpg,909594c0966e36d8d19128705ee69d09,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/909594c0966e36d8d19128705ee69d09.jpg,,,Scottsdale,Arizona,default,field_6813f255a7266,"7512 East Larkspur Drive, Scottsdale, Az 85260",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},2,15085,field_68af89a6f8692,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-m-assisted-living-of-scottsdale,,default,0,0,0,open,open,2025-08-27 22:45:31,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
6727,A A A Adult Care Home,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-a-a-adult-care-home/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/90f6d1eed8ded5d33ae9355960d896fc.jpg,90f6d1eed8ded5d33ae9355960d896fc,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/90f6d1eed8ded5d33ae9355960d896fc.jpg,,,Tucson,Arizona,default,field_6813f255a7266,"5720 East 26Th Street, Tucson, Az 85711",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,field_682e9adea745b,,field_682f4d903ba5f,Tucson,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:99;},2,15086,field_68af89a6f8692,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-a-a-adult-care-home,,default,0,0,0,open,open,2025-08-27 22:45:31,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
6728,A Better Choice Assisted Living,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-better-choice-assisted-living/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/92c20f82bae0c3ce591d625ee433ca9a.jpg,92c20f82bae0c3ce591d625ee433ca9a,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/92c20f82bae0c3ce591d625ee433ca9a.jpg,,,Scottsdale,Arizona,default,field_6813f255a7266,"9742 East Gelding Drive, Scottsdale, Az 85260",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,field_682e9adea745b,,field_682f4d903ba5f,Scottsdale,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:111;},2,15087,field_68af89a6f8692,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-better-choice-assisted-living,,default,0,0,0,open,open,2025-08-27 22:45:32,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
6729,A Breath Of Life Care Home,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-breath-of-life-care-home/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/125b701dfb425ce2361405fbd726367d.jpg,125b701dfb425ce2361405fbd726367d,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/125b701dfb425ce2361405fbd726367d.jpg,,,Tucson,Arizona,default,field_6813f255a7266,"1715 West Calle Acapulco, Tucson, Az 85713",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,field_682e9adea745b,,field_682f4d903ba5f,Tucson,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:99;},2,15088,field_68af89a6f8692,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-breath-of-life-care-home,,default,0,0,0,open,open,2025-08-27 22:45:32,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
6730,A Caring Manor I,,,2025-06-19 00:02:24,listing,https://aplaceforseniorscms.kinsta.cloud/listing/a-caring-manor-i/,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/5dca446820ff368ab34b930cbd1ce9e4.jpg,5dca446820ff368ab34b930cbd1ce9e4,,,,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/5dca446820ff368ab34b930cbd1ce9e4.jpg,,,Queen Creek,Arizona,default,field_6813f255a7266,"20338 East Via Del Oro, Queen Creek, Az 85142",field_68152ed96a2d0,,field_68152f2303743,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,field_682e9adea745b,,field_682f4d903ba5f,Queen Creek,field_682fc481aaf60,a:1:{i:0;i:162;},field_68324d980487e,field_68361c6ff3620,,field_6851bb26d331f,a:1:{i:0;i:104;},2,15089,field_68af89a6f8692,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,field_68af89b8e4cd0,,,,,,,,,publish,3,melanie,melanie@cooperbold.com,melanie,,a-caring-manor-i,,default,0,0,0,open,open,2025-08-27 22:45:32,Assisted Living Home,Updated to match Senior Place: Assisted Living Home
