ID,Title,type,normalized_types,correction_reason
,A Family Affair Alh,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Abbington Senior Living,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Abes Touching Hearts Al,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Aberdeen Home,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Acacia Health Center,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community",Updated from Assisted Living Community to Assisted Living Home
,Acoya Scottsdale At Troon,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living",Updated from Independent Living to Assisted Living Home
,Acoya Shea,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Aegis At Cassia,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Alta Mesa Health And Rehabilitation,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community",Updated from Assisted Living Community to Assisted Living Home
,Alta Vista Senior Living Community,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,American Dream Home,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Other/Unknown to Assisted Living Home
,American Dream Home Ii,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Other/Unknown to Assisted Living Home
,American Groves Senior Living Lp,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living",Updated from Independent Living to Assisted Living Home
,American Orchards Senior Living,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Andara Senior Living,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Arbor Ridge,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Arbor Rose Senior Care,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Arroyo Gardens Independent And Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Asov Borrower,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Assisted Livings At Lifestream,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Ativo Senior Living Of Yuma,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Ativo Senior Living Prescott Valley,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Audreys Adult Care Home,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Aurora Place,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Avanti Senior Living At Peoria,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Avista Evergreen Village Assisted Living Prescott,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living",Updated from Independent Living to Assisted Living Home
,Avista Senior Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Avista Senior Living Evergreen Senior Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Independent Living to Assisted Living Home
,Avista Senior Living Lake Havasu,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Avista Senior Living Payson,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Avista Senior Living Yuma,a:1:{i:0;i:162;},Assisted Living Home,Updated from Independent Living to Assisted Living Home
,Avista Senior Living Historic Downtown Mesa,a:1:{i:0;i:162;},Assisted Living Home,Updated from Independent Living to Assisted Living Home
,Avista Sun City West Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Az Ohana Care Home 3,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Azalea Villa Assisted Living Center,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Barton House I,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Barton House Ii,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Barton House Ii,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Beatitudes Campus,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community, Independent Living, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Bee Hive Homes,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Bee Hive Homes Of Arrowhead,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Beehive Homes Of Page Elk Rd,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Beehive Homes Of Sierra Vista,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Bella Vita Health And Rehabilitation Center,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Belmont Village Scottsdale,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Bethesda Gardens Phoenix,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Bridgewater Assisted Living,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Bridgewater Assisted Living,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Other/Unknown to Assisted Living Home
,Bridgewater Assisted Livingmidtown,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Bridgewater La Cholla Operations,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Broadway Proper Senior Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
