ID,Title,current_website,seniorly_url,current_normalized_types,seniorplace_url,sp_types_raw,sp_types_mapped
,A I Adult Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,A Country Retreat,https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat,https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat,Assisted Living Home,,,
,A Happy Place Adult Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,A Paradise For Parents Senior Living,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community",https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,Assisted Living Home,Assisted Living Home
,A Parents Paradise,https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,A Place In The Sun,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,A Tender Touch Assisted Living Ii,https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii,https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,A Touch Of Elegance Care Home,https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Abellavida Memory Care,https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,"Assisted Living Home, Independent Living, Memory Care",,,
,Abracadabra Assisted Living 2,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Absolute Assisted Living Adult Care Home,https://www.seniorly.com/assisted-living/arizona/mesa/absolute-assisted-living-adult-care-home,https://www.seniorly.com/assisted-living/arizona/mesa/absolute-assisted-living-adult-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Abuelos At Edgewood Place,https://www.seniorly.com/assisted-living/arizona/tucson/abuelos-at-edgewood-place,https://www.seniorly.com/assisted-living/arizona/tucson/abuelos-at-edgewood-place,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Acacia Cove Assisted Living,https://www.seniorly.com/assisted-living/arizona/glendale/acacia-cove-assisted-living,https://www.seniorly.com/assisted-living/arizona/glendale/acacia-cove-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Acoya Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/acoya-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/acoya-mesa,"Assisted Living Home, Independent Living, Memory Care",,,
,Adagio Alh,https://www.seniorly.com/assisted-living/arizona/phoenix/adagio-alh,https://www.seniorly.com/assisted-living/arizona/phoenix/adagio-alh,Assisted Living Home,,,
,Adobe Adult Care Home,https://www.seniorly.com/assisted-living/arizona/tucson/adobe-adult-care-home,https://www.seniorly.com/assisted-living/arizona/tucson/adobe-adult-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Aegis At 38Th Place Assisted Living Ii,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-38th-place-assisted-living-ii,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-38th-place-assisted-living-ii,Assisted Living Home,,,
,Aegis At Fairview Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/aegis-at-fairview-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/chandler/aegis-at-fairview-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Aegis At Redwood Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-redwood-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-redwood-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Affirmative Care Home,https://www.seniorly.com/assisted-living/arizona/tucson/affirmative-care-home,https://www.seniorly.com/assisted-living/arizona/tucson/affirmative-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Agape Care Home Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/agape-care-home-of-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/agape-care-home-of-scottsdale,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Agave Assisted Living Ii,https://www.seniorly.com/assisted-living/arizona/peoria/agave-assisted-living-home-ii,https://www.seniorly.com/assisted-living/arizona/peoria/agave-assisted-living-home-ii,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Agave Care Home Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-care-home-of-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-care-home-of-scottsdale,Assisted Living Home,,,
,Agave Manor,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-manor,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-manor,"Assisted Living Home, Independent Living, Assisted Living Community, Memory Care",,,
,Ageless Angels Alh 2,https://www.seniorly.com/assisted-living/arizona/chandler/ageless-angels-alh-2,https://www.seniorly.com/assisted-living/arizona/chandler/ageless-angels-alh-2,Assisted Living Home,,,
,Aguilera Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/aguilera-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/tucson/aguilera-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community",https://app.seniorplace.com/communities/show/2b14e824-32f0-4d79-b9dd-4fb2a9b4884b,Assisted Living Home,Assisted Living Home
,Ahwatukee Adult Care Iii,https://www.seniorly.com/assisted-living/arizona/phoenix/ahwatukee-adult-care-iii,https://www.seniorly.com/assisted-living/arizona/phoenix/ahwatukee-adult-care-iii,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,All Care Assisted,https://www.seniorly.com/assisted-living/arizona/surprise/all-care-assisted,https://www.seniorly.com/assisted-living/arizona/surprise/all-care-assisted,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Allegiance Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/allegiance-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/mesa/allegiance-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Aloha Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/aloha-assisted-living-home-llc,https://www.seniorly.com/assisted-living/arizona/tucson/aloha-assisted-living-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
