ID,Title,website,seniorly_url,normalized_types,Slug
,A I Adult Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,"Assisted Living Community, Assisted Living Home",a-i-adult-care-home
,A Country Retreat,https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat,https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat,Assisted Living Community,a-country-retreat
,A Happy Place Adult Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,"Assisted Living Community, Assisted Living Home",a-happy-place-adult-care-home
,A Paradise For Parents Senior Living,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,"Assisted Living Community, Assisted Living Home",a-paradise-for-parents-senior-living-2
,A Parents Paradise,https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,"Assisted Living Community, Assisted Living Home",a-parents-paradise
,A Place In The Sun,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,"Assisted Living Community, Assisted Living Home",a-place-in-the-sun
,A Tender Touch Assisted Living Ii,https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii,https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii,"Assisted Living Community, Assisted Living Home",a-tender-touch-assisted-living-ii
,A Touch Of Elegance Care Home,https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,"Assisted Living Community, Assisted Living Home",a-touch-of-elegance-care-home
,Abellavida Memory Care,https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,Assisted Living Community,abellavida-memory-care
,Abracadabra Assisted Living 2,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,"Assisted Living Community, Assisted Living Home",abracadabra-assisted-living-2
,Absolute Assisted Living Adult Care Home,https://www.seniorly.com/assisted-living/arizona/mesa/absolute-assisted-living-adult-care-home,https://www.seniorly.com/assisted-living/arizona/mesa/absolute-assisted-living-adult-care-home,"Assisted Living Community, Assisted Living Home",absolute-assisted-living-adult-care-home
,Abuelos At Edgewood Place,https://www.seniorly.com/assisted-living/arizona/tucson/abuelos-at-edgewood-place,https://www.seniorly.com/assisted-living/arizona/tucson/abuelos-at-edgewood-place,Assisted Living Community,abuelos-at-edgewood-place
,Acacia Cove Assisted Living,https://www.seniorly.com/assisted-living/arizona/glendale/acacia-cove-assisted-living,https://www.seniorly.com/assisted-living/arizona/glendale/acacia-cove-assisted-living,"Assisted Living Community, Assisted Living Home",acacia-cove-assisted-living
,Acoya Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/acoya-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/acoya-mesa,"Assisted Living Community, Independent Living, Memory Care",acoya-mesa
