title,id_sp,website_sp,types_sp,id_sr,website_sr,types_sr
A Paradise For Parents Senior Living,,https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
A Special Place Care Home,,https://app.seniorplace.com/communities/show/042870fa-33a5-4950-8945-d5c60e4e72cc,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/yuma/a-special-place-care-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Acoma Assisted Living,,https://app.seniorplace.com/communities/show/436ffb7b-0855-45a6-83db-d2ccc4eae64b,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/acoma-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Acoya Shea,,https://app.seniorplace.com/communities/show/bd140ecf-f482-46a3-9097-dda13dc37447,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/scottsdale/acoya-shea-senior-living,"Assisted Living Home, Independent Living, Memory Care"
Acuna At Morning Sun,,https://app.seniorplace.com/communities/show/4a1723d3-48f1-4940-a331-09f58491e80f,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/san-tan-valley/acuna-at-morning-sun,Assisted Living Home
Aging Gracefully,,https://app.seniorplace.com/communities/show/31e82778-f8da-4b56-b711-5c6b5523b347,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/aging-gracefully,"Assisted Living Home, Independent Living, Assisted Living Community"
Alder Leaf Assisted Living,,https://app.seniorplace.com/communities/show/4a010675-d490-4298-9b79-f3d609b967d8,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/queen-creek/alder-leaf-assisted-living,Assisted Living Home
Angels Touch Care Home,,https://app.seniorplace.com/communities/show/e80c0309-4f98-432c-b1ea-277225d9f702,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/fort-mohave/angel-s-touch-care-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Angels Wings Assisted Living,,https://app.seniorplace.com/communities/show/d6b5dbcb-9de3-48db-890f-dbc6317377bd,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/chandler/angels-wings-assisted-living-home,Assisted Living Home
Annies Care Home,,https://app.seniorplace.com/communities/show/65035053-e6bb-42bc-ad95-1b7a53e51c48,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/annie-s-care-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Anthem Senior Living,,https://app.seniorplace.com/communities/show/de6a9d77-02fe-4ea7-9d51-1f1d30c9cef4,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/anthem-senior-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Arbor Rose Senior Care,,https://app.seniorplace.com/communities/show/6bd1d1e6-1ddf-4a8f-8cb3-549fd20ef4a3,"Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/mesa/arbor-rose-senior-care,Assisted Living Home
Arcadia Home Care,,https://app.seniorplace.com/communities/show/14a8787d-3de2-404f-8d7f-3f3a233df9f3,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-home-care-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Armada Care Homes,,https://app.seniorplace.com/communities/show/77dece73-4254-409d-9c77-a0907cb7cff8,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/mesa/armada-care-homes-mesa,Assisted Living Home
