ID,Title,normalized_types,sources
6725,A I Adult Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6733,A Country Retreat,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6738,A Happy Place Adult Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6742,A Paradise For Parents Senior Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6745,A Parents Paradise,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6748,A Place In The Sun,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6752,A Tender Touch Assisted Living Ii,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6753,A Touch Of Elegance Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6762,Abellavida Memory Care,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6768,Abracadabra Assisted Living 2,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6769,Absolute Assisted Living Adult Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6772,Abuelos At Edgewood Place,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6778,Acacia Cove Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6784,Acoya Mesa,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6791,Adagio Alh,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6794,Adobe Adult Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
