ID,Title,before_types,after_types,status
6718,113 North Senior Care Center,,,UNCHANGED
6719,15298 W Ventura St,,,UNCHANGED
6720,15Th Way Home Assisted Care,,,UNCHANGED
6721,29192 Assisted Living,,,UNCHANGED
6722,55 Resort Apartments Scottsdale,,,UNCHANGED
6723,55 Resorts Scottsdale At Mccormick Ranch,,,UNCHANGED
6724,8434 Assisted Living,,,UNCHANGED
6725,A I Adult Care Home,,,UNCHANGED
6726,A M Assisted Living Of Scottsdale,,,UNCHANGED
6727,A A A Adult Care Home,,,UNCHANGED
6728,A Better Choice Assisted Living,,,UNCHANGED
6729,A Breath Of Life Care Home,,,UNCHANGED
6730,A Caring Manor I,,,UNCHANGED
6731,A Caring Manor Ii,,,UNCHANGED
6732,A Cottage At Pampa Assisted Living,,,UNCHANGED
6733,A Country Retreat,,,UNCHANGED
6734,A D Assisted Living Carehome,,,UNCHANGED
6735,A Dignified Adult Care Home,,,UNCHANGED
6736,A Family Affair Alh,,,UNCHANGED
6737,A Golden Retreat Care Home,,,UNCHANGED
6738,A Happy Place Adult Care Home,,,UNCHANGED
6739,A Loving Heart Assisted Living Ii,,,UNCHANGED
6740,A Loving Heart Assisted Living,,,UNCHANGED
6741,A Paradise For Parents Senior Living,,,UNCHANGED
6742,A Paradise For Parents Senior Living,,,UNCHANGED
6743,A Paradise For Parents 2 Parents Paradise And Care,,,UNCHANGED
6744,A Parents Paradise And Care,,,UNCHANGED
6745,A Parents Paradise,,,UNCHANGED
6746,A Place For Your Loved Ones,,,UNCHANGED
6747,A Place For Your Loved Ones Ii,,,UNCHANGED
6748,A Place In The Sun,,,UNCHANGED
6749,A Place Of Joy Assisted Living,,,UNCHANGED
6750,A R D C Scottsdale Home,,,UNCHANGED
6751,A Special Place Care Home,,,UNCHANGED
6752,A Tender Touch Assisted Living Ii,,,UNCHANGED
6753,A Touch Of Elegance Care Home,,,UNCHANGED
6754,A Touch Of Excelence,,,UNCHANGED
6755,Az Assisted Livings,,,UNCHANGED
6756,Aa Love Care Home,,,UNCHANGED
6757,Abaca Health,,,UNCHANGED
6758,Abbington Senior Living,,,UNCHANGED
6759,Abc Independent Living,,,UNCHANGED
6760,Abes Touching Hearts Al,,,UNCHANGED
6761,Abella Manor Senior Care,,,UNCHANGED
6762,Abellavida Memory Care,,,UNCHANGED
6763,Aberdeen Home,,,UNCHANGED
6764,Abigails Assisted Living,,,UNCHANGED
6765,Ability Assisted Living,,,UNCHANGED
6766,About Seniors Assisted Living,,,UNCHANGED
6767,About Seniors Assisted Living Ii,,,UNCHANGED
6768,Abracadabra Assisted Living 2,,,UNCHANGED
6769,Absolute Assisted Living Adult Care Home,,,UNCHANGED
6770,Absolute Best Care,,,UNCHANGED
6771,Abuelitos Home,,,UNCHANGED
6772,Abuelos At Edgewood Place,,,UNCHANGED
6773,Abuelos At La Canada,,,UNCHANGED
6774,Abundant Life Alh Ii,,,UNCHANGED
6775,Abundant Life Assisted Living And Senior Care,,,UNCHANGED
6776,Abundant Life Care,,,UNCHANGED
6777,Abundant Life Care Home,,,UNCHANGED
6778,Acacia Cove Assisted Living,,,UNCHANGED
6779,Acacia Glen Home Care,,,UNCHANGED
6780,Acacia Health Center,,,UNCHANGED
6781,Acacia Heights Assisted Living,,,UNCHANGED
6782,Ace Castles Assisted Living Llc Go To,,,UNCHANGED
6783,Acoma Assisted Living,,,UNCHANGED
6784,Acoya Mesa,,,UNCHANGED
6785,Acoya Scottsdale At Troon,,,UNCHANGED
6786,Acoya Shea,,,UNCHANGED
6787,Active Care Home Ii,,,UNCHANGED
6788,Active Care Home Iii,,,UNCHANGED
6789,Active Care Homes,,,UNCHANGED
6790,Acuna At Morning Sun,,,UNCHANGED
6791,Adagio Alh,,,UNCHANGED
6792,Adagio Care,,,UNCHANGED
6793,Adams House,,,UNCHANGED
6794,Adobe Adult Care Home,,,UNCHANGED
6795,Adobe Country Gables,,,UNCHANGED
