title,description,address,location-name,price,type,featured_image,photos,amenities,url
113 North Senior Care Center,,"113 North Avenida De San Ramon, Tucson, Az 85710",Tucson,,,,,,https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e
15298 W Ventura St,,"15298 West Ventura Street, Surprise, Az 85379",Surprise,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b36dddcafed54b54b45057868103c255.jpg,,,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6
15Th Way Home Assisted Care,,"15816 North 15Th Way, Phoenix, Az 85022",Phoenix,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5137bf5e4152350b9ee392a3facb228e.jpg,,,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009
29192 Assisted Living,,"29192 North 76Th Street, Scottsdale, Az 85266",Scottsdale,,Assisted Living Home,,,,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268
55 Resort Apartments Scottsdale,,"9449 N 90Th Street, Scottsdale, Az 85258",Scottsdale,,,,,,https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613
55 Resorts Scottsdale At Mccormick Ranch,,"9449 N 90Th Street, Scottsdal, Az 85258",Scottsdal,,,https://app.seniorplace.com/api/files/public/db13b7cb-e94a-42c0-bf1a-db3ad7e814e4,,,https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184
8434 Assisted Living,,"8434 East La Junta Road, Scottsdale, Az 85255",Scottsdale,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/259e073d8df7e669192fd92ca325cc5d.jpg,,,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18
A I Adult Care Home,"A & I Adult Care Home creates a space where seniors can feel secure and cared for. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. From daily routines to special moments, residents are supported every step of the way.","5327 East Anderson Drive, Scottsdale, Az 85254",Scottsdale,3110,"Assisted Living Home, Board And Care Home",https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4616fd592f0cf53bf9dcb7d46b24b1a3.jpg,,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home
A M Assisted Living Of Scottsdale,,"7512 East Larkspur Drive, Scottsdale, Az 85260",Scottsdale,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/909594c0966e36d8d19128705ee69d09.jpg,,,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365
A A A Adult Care Home,,"5720 East 26Th Street, Tucson, Az 85711",Tucson,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/90f6d1eed8ded5d33ae9355960d896fc.jpg,,,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d
A Better Choice Assisted Living,,"9742 East Gelding Drive, Scottsdale, Az 85260",Scottsdale,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/92c20f82bae0c3ce591d625ee433ca9a.jpg,,,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03
A Breath Of Life Care Home,,"1715 West Calle Acapulco, Tucson, Az 85713",Tucson,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/125b701dfb425ce2361405fbd726367d.jpg,,,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c
A Caring Manor I,,"20338 East Via Del Oro, Queen Creek, Az 85142",Queen Creek,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5dca446820ff368ab34b930cbd1ce9e4.jpg,,,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585
A Caring Manor Ii,,"18642 East Cloud Road, Queen Creek, Az 85142",Queen Creek,,Assisted Living Home,https://app.seniorplace.com/api/files/public/ec168146-0a23-420b-844a-7de90006827f,,,https://app.seniorplace.com/communities/show/4e2dcc51-4ac7-40f1-b3a6-5a20f3759b99
A Cottage At Pampa Assisted Living,,"9909 East Pampa Avenue, Mesa, Az 85212",Mesa,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/104fb52d8e7e9cc97c98664733b86d12.jpg,,,https://app.seniorplace.com/communities/show/bc66eb9a-8a42-49c5-9e76-f8921887366d
A Country Retreat,"At A Country Retreat, residents find a supportive environment that puts well-being first. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Everything is centered around comfort, dignity, and personalized support.","412 Old Munds Highway, Flagstaff, Az 86005",Flagstaff,2750,Assisted Living Home,,,"all day dining, allergy-sensitive, community-sponsored activities, diabetes diet, dining room, emergency alert system, furnished, garden, housekeeping, laundry service / dry cleaning, meal preparation and service, move-in coordination, movie nights, scheduled meals, special dietary restrictions, telephone, transportation & parking, walking paths",https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat
A D Assisted Living Carehome,,"3213 East Mitchell Drive, Phoenix, Az 85018",Phoenix,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/05a2d4fe931a77a972c4065bc0c92711.jpg,,,https://app.seniorplace.com/communities/show/cde90335-8ce2-4eba-8c68-b29c407a3b1b
A Dignified Adult Care Home,,"14952 North 78Th Avenue, Peoria, Az 85381",Peoria,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/eb638635f9c49d5e87cde8a5700c126d.jpg,,,https://app.seniorplace.com/communities/show/eda3e743-5df0-4bcb-b4e4-ee19df5f6412
