ID,Title,Current_Classification,New_Classification,Confidence,Score,Reasons,new_type_id,new_normalized_types
6804,Aegis At 38Th Place Assisted Living Ii,Assisted Living Home (162),Assisted Living Community (5),High,6,"[""Title contains 'place' (community indicator)"", 'Known large community brand: aegis', ""Generic 'assisted living' without 'home'""]",5,Assisted Living Community
6808,Aegis At Fairview Assisted Living,Assisted Living Home (162),Assisted Living Community (5),High,4,"['Known large community brand: aegis', ""Generic 'assisted living' without 'home'""]",5,Assisted Living Community
6810,Aegis At Redwood Assisted Living,Assisted Living Home (162),Assisted Living Community (5),High,4,"['Known large community brand: aegis', ""Generic 'assisted living' without 'home'""]",5,Assisted Living Community
7153,Brookdale Desert Ridge,Assisted Living Home (162),Assisted Living Community (5),High,5,"[""Title contains 'ridge' (community indicator)"", 'Known large community brand: brookdale']",5,Assisted Living Community
8324,Kivel Manor Assisted Living Center,Assisted Living Home (162),Assisted Living Community (5),High,5,"[""Title contains 'living center' (community indicator)"", ""Title contains 'manor' (community indicator)"", ""Generic 'assisted living' without 'home'""]",5,Assisted Living Community
10275,Merrill Gardens At Anthem,Assisted Living Home (162),Assisted Living Community (5),High,5,"[""Title contains 'gardens' (community indicator)"", 'Known large community brand: merrill gardens']",5,Assisted Living Community
10283,American Ridge Senior Living,Assisted Living Home (162),Assisted Living Community (5),High,4,"[""Title contains 'senior living' (community indicator)"", ""Title contains 'ridge' (community indicator)""]",5,Assisted Living Community
10404,Sunridge Village,Assisted Living Home (162),Assisted Living Community (5),High,4,"[""Title contains 'village' (community indicator)"", ""Title contains 'ridge' (community indicator)""]",5,Assisted Living Community
10430,Gardens At Ocotillo Senior Living,Assisted Living Home (162),Assisted Living Community (5),High,4,"[""Title contains 'senior living' (community indicator)"", ""Title contains 'gardens' (community indicator)""]",5,Assisted Living Community
10671,Belmont Village Senior Living Scottsdale,Assisted Living Home (162),Assisted Living Community (5),High,7,"[""Title contains 'senior living' (community indicator)"", ""Title contains 'village' (community indicator)"", 'Known large community brand: belmont village']",5,Assisted Living Community
11038,Country Manor Assisted Living Center,Assisted Living Home (162),Assisted Living Community (5),High,5,"[""Title contains 'living center' (community indicator)"", ""Title contains 'manor' (community indicator)"", ""Generic 'assisted living' without 'home'""]",5,Assisted Living Community
