ID,Decision,Notes
6725,Home,
6733,Community,
6762,Community,
6738,Home,
6742,Home,
6745,Home,
6748,Home,
6752,Home,
6753,Home,
6768,Home,
6769,Home,
6772,Home,
6778,Home,
6784,Community,
6791,Community,
6794,Home,
6804,Home,
6808,Home,
6810,Home,
6812,Home,
6814,Home,
6818,Home,
6819,Home,
6821,Home,
6822,Home,
6825,Home,
6827,Home,
6840,Home,
6846,Home,
6848,Home,
6849,Home,
6857,Home,
6865,Home,
6867,Community,
6869,Home,
6871,Home,
6872,Home,
6875,Home,
6887,Home,
6891,Home,
6895,Home,
6902,Home,
6903,Home,
6918,Home,
6926,Community,
6928,Home,
6930,Home,
6945,Community,
6946,Home,
6948,Community,
6949,Home,
6951,Home,
6956,Home,
6961,Home,
6962,Home,
6965,Home,
6966,Home,
6968,Home,
6977,Home,
6978,Home,
6979,Home,
6988,Home,
6993,Home,
6998,Home,
7011,Community,
7013,Community,
7024,Home,
7029,Community,
7033,Community,
7049,Home,
7054,Home,
7055,Home,
7056,Home,
7060,Home,
7070,Community,
7071,Home,
7076,Home,
7077,Home,
7078,Community,
7094,Home,
7095,Home,
7099,Home,
7101,Home,
7105,Home,
7106,Home,
7109,Home,
7113,Community,
7114,Home,
7115,Home,
7117,Home,
7118,Home,
7120,Home,
7124,Home,
7129,Home,
7131,Home,
7140,Home,
7143,Community,
7145,Community,
7146,Community,
7147,Community,
7149,Community,
7150,Community,
7151,Community,
7152,Community,
7153,Community,
7154,Community,
7156,Community,
7157,Community,
7160,Community,
7161,Community,
7162,Community,
7164,Community,
7166,Community,
7177,Community,
7180,Community,
7181,Home,
7183,Home,
7185,Community,
7188,Home,
7194,Community,
7195,Community,
7196,Home,
7207,Community,
7209,Home,
7220,Home,
7229,Home,
7234,Home,
7236,Home,
7237,Home,
7241,Home,
7242,Home,
7243,Home,
7244,Community,
7249,Home,
7256,Home,
7257,Home,
7258,Community,
7260,Home,
7266,Home,
7275,Community,
7276,Community,
7290,Home,
7293,Community,
7294,Community,
7308,Home,
7321,Community,
7325,Home,
7328,Home,
7330,Home,
7332,Community,
7334,Home,
7340,Home,
7341,Community,
7346,Home,
7348,Community,
7349,Home,
7355,Home,
7362,Home,
7367,Home,
7368,Home,
7372,Home,
7373,Home,
7375,Home,
7392,Home,
7393,Home,
7395,Home,
7396,Home,
7397,Home,
7398,Home,
7403,Home,
7406,Home,
7412,Home,
7425,Home,
7426,Home,
7431,Home,
7436,Home,
7438,Home,
7440,Community,
7451,Home,
7453,Home,
7455,Home,
7457,Home,
7467,Home,
7475,Home,
7497,Home,
7502,Home,
7510,Home,
7511,Home,
7529,Home,
7545,Home,
7553,Community,
7555,Home,
7556,Home,
7557,Community,
7559,Home,
7569,Community,
7584,Home,
7587,Home,
7597,Community,
7617,Home,
7621,Home,
7629,Home,
7633,Community,
7635,Community,
7641,Home,
7647,Home,
7649,Home,
7659,Home,
7666,Home,
7674,Home,
7677,Home,
7690,Home,
7692,Home,
7694,Home,
7696,Home,
7704,Home,
7712,Home,
7718,Home,
7724,Home,
7742,Home,
7750,Home,
7757,Home,
7797,Home,
7801,Home,
7805,Home,
7813,Home,
7815,Home,
7845,Home,
7855,Community,
7861,Home,
7866,Home,
7870,Home,
7880,Home,
7884,Home,
7898,Home,
7900,Home,
7904,Home,
7906,Home,
7912,Home,
7916,Home,
7918,Home,
7922,Home,
