ID,Title,seniorly_url,type,States,Locations,Image Featured,Image URL,photos,_photos,Attachment URL,Image Title,Image Caption,URL,Decision,Notes,normalized_types
6725,A & I Adult Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,a:1:{i:0;i:162;},Arizona,Scottsdale,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/1FDT4467.webp,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/1FDT4467.webp,,field_68361c6ff3620,,1FDT4467,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,Home,,Assisted Living Home
6733,A Country Retreat,https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat,a:1:{i:0;i:162;},Arizona,Flagstaff,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/5a5e5139e12cbe78a38100e1df6648c1-uncropped_scaled_within_1536_1152.webp,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/5a5e5139e12cbe78a38100e1df6648c1-uncropped_scaled_within_1536_1152.webp,,field_68361c6ff3620,,5a5e5139e12cbe78a38100e1df6648c1-uncropped_scaled_within_1536_1152,,https://www.seniorly.com/assisted-living/arizona/flagstaff/a-country-retreat,Community,,Assisted Living Community
6738,A Happy Place Adult Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,a:1:{i:0;i:162;},Arizona,Scottsdale,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/Screenshot-2025-08-29-at-3.17.37-PM-scaled.png,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/Screenshot-2025-08-29-at-3.17.37-PM-scaled.png,,field_68361c6ff3620,,Screenshot 2025-08-29 at 3.17.37 PM,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,Home,,Assisted Living Home
6742,A Paradise For Parents Senior Living,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,a:1:{i:0;i:162;},Arizona,Goodyear,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/IMG_9898.jpg,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/IMG_9898.jpg,"https://d354o3y6yz93dt.cloudfront.net/images/1200x/0a37e96f5c5a79476caac8ecf39a0d94da87e2c3/Assisted%20Living%20Sun%20City%20AZ.jpg, https://d354o3y6yz93dt.cloudfront.net/images/1200x/d10ab6262ce2392c545ce9404e27e4d3956e50da/Olivia%20and%20Goodyear%20Kitchen.jpg, https://d354o3y6yz93dt.cloudfront.net/images/1200x/24168a144bfbca6d09f7849a7460722f812b5989/IMG_0116.JPG",field_68361c6ff3620,,IMG_9898,,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,Home,,Assisted Living Home
6745,A Parents Paradise,https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,a:1:{i:0;i:162;},Arizona,Surprise,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/Screen-Shot-2020-08-29-at-5.49.37-PM_sly_high_res_.png,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/07/Screen-Shot-2020-08-29-at-5.49.37-PM_sly_high_res_.png,"https://d354o3y6yz93dt.cloudfront.net/images/1200x/799637176968e28f6c3e167725842bde2cf87724/Screen%20Shot%202020-08-29%20at%205.49.37%20PM_sly_high_res_.png, https://d354o3y6yz93dt.cloudfront.net/images/1200x/1e20e9bbcc41e7c85b9bfd4b87526082b526cdad/Screen%20Shot%202020-08-29%20at%205.51.40%20PM.png, https://d354o3y6yz93dt.cloudfront.net/images/1200x/f3694c359523daa17718ddae565e57a389623e0b/Screen%20Shot%202020-08-29%20at%205.49.16%20PM.png",field_68361c6ff3620,,Screen-Shot-2020-08-29-at-5.49.37-PM_sly_high_res_,,https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,Home,,Assisted Living Home
6748,A Place In The Sun,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,"a:1:{i:0;s:3:""162"";}",Arizona,Scottsdale,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/Screenshot-2025-08-29-at-3.21.14-PM.png,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/Screenshot-2025-08-29-at-3.21.14-PM.png,,field_68361c6ff3620,,Screenshot 2025-08-29 at 3.21.14 PM,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,Home,,Assisted Living Home
6752,A Tender Touch Assisted Living Ii,https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii,a:1:{i:0;i:162;},Arizona,Phoenix,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/2025-06-16.webp,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/2025-06-16.webp,,field_68361c6ff3620,,2025-06-16,,https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii,Home,,Assisted Living Home
6753,A Touch Of Elegance Care Home,https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,a:1:{i:0;i:162;},Arizona,Peoria,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/unnamed-8.webp,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/unnamed-8.webp,,field_68361c6ff3620,,unnamed,,https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,Home,,Assisted Living Home
6762,Abellavida Memory Care,https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,a:2:{i:0;i:162;i:1;i:3;},Arizona,Phoenix,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/Commercial-Photographer-Brandon_Tigrett-Abellavida-Hero-Dusk-Back-2-1200x580-1.webp,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/Commercial-Photographer-Brandon_Tigrett-Abellavida-Hero-Dusk-Back-2-1200x580-1.webp,,field_68361c6ff3620,,Commercial-Photographer-Brandon_Tigrett-Abellavida-Hero-Dusk-Back-2-1200x580,,https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,Community,,"Memory Care, Assisted Living Community"
6768,Abracadabra Assisted Living 2,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,a:1:{i:0;i:162;},Arizona,Phoenix,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/Screenshot-2025-08-29-at-3.23.02-PM-scaled.png,http://aplaceforseniorscms.kinsta.cloud/wp-content/uploads/2025/06/Screenshot-2025-08-29-at-3.23.02-PM-scaled.png,,field_68361c6ff3620,,Screenshot 2025-08-29 at 3.23.02 PM,,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,Home,,Assisted Living Home
